Date,Time,DateTime,Chlorophyll_RFU,Cond_uS_cm,Depth_m,fDOM_QSU,fDOM_RFU,nLF_Cond_µS_cm,ODO_PerSat,ODO_PerLocSat,ODO_mg_L,Pressure_psi_a,Sal_psu,SpCond_uS_cm,TAL_PC_RFU,TDS_mg_L,pH,Temp_C,Vertical_Pos_m,Light_lux
7/1/2022,14:13:08,7/1/2022 14:13:08,0.16,259.9,0.34,18.5,6.16,247.9,140,142.4,11.09,0.178,0.12,249.1,-0.25,162,8.33,27.283,0.343,777.60
7/1/2022,14:18:08,7/1/2022 14:18:08,0.15,260.2,0.34,18.28,6.09,247.5,141,143.4,11.15,0.178,0.12,248.7,-0.25,162,8.33,27.416,0.339,724.80
7/1/2022,14:23:08,7/1/2022 14:23:08,0.16,260.6,0.339,18.54,6.18,247.5,141.3,143.6,11.15,0.178,0.12,248.8,-0.29,162,8.34,27.499,0.343,425.76
7/1/2022,14:28:08,7/1/2022 14:28:08,0.18,261.4,0.338,18.57,6.19,247.5,140.4,142.8,11.06,0.176,0.12,248.9,-0.26,162,8.34,27.629,0.341,59.10
7/1/2022,14:33:08,7/1/2022 14:33:08,0.15,261.6,0.338,18.56,6.19,247.2,140.3,142.6,11.03,0.176,0.12,248.6,-0.29,162,8.35,27.732,0.341,184.88
7/1/2022,14:38:08,7/1/2022 14:38:08,0.15,262,0.338,18.55,6.18,247.2,141.5,143.9,11.11,0.175,0.12,248.6,-0.28,162,8.35,27.823,0.34,116.92
7/1/2022,14:43:08,7/1/2022 14:43:08,0.16,262.3,0.337,18.58,6.19,247.1,141.4,143.8,11.08,0.174,0.12,248.6,-0.28,162,8.35,27.88,0.34,1712.00
7/1/2022,14:48:08,7/1/2022 14:48:08,0.15,262.4,0.336,18.66,6.22,247,141.7,144.1,11.1,0.173,0.12,248.5,-0.26,162,8.36,27.92,0.339,8926.72
7/1/2022,14:53:08,7/1/2022 14:53:08,0.16,262.7,0.335,18.49,6.16,246.8,142.2,144.6,11.12,0.172,0.12,248.3,-0.28,161,8.36,28.024,0.338,41881.60
7/1/2022,14:58:08,7/1/2022 14:58:08,0.15,263.1,0.336,18.6,6.2,246.7,141.9,144.3,11.08,0.173,0.12,248.3,-0.33,161,8.37,28.121,0.338,40581.12
7/1/2022,15:03:08,7/1/2022 15:03:08,0.15,263.6,0.334,18.46,6.15,246.5,142.7,145.1,11.11,0.171,0.12,248.2,-0.33,161,8.37,28.242,0.338,39034.88
7/1/2022,15:08:08,7/1/2022 15:08:08,0.15,264.3,0.334,18.44,6.15,246.5,142.7,145.1,11.09,0.17,0.12,248.2,-0.31,161,8.39,28.395,0.337,37212.16
7/1/2022,15:13:08,7/1/2022 15:13:08,0.17,264.6,0.333,18.39,6.13,246.3,143.1,145.6,11.1,0.169,0.12,248.1,-0.35,161,8.39,28.479,0.336,36116.48
7/1/2022,15:18:08,7/1/2022 15:18:08,0.15,264.6,0.333,18.55,6.18,246.1,143.5,146,11.13,0.169,0.12,248,-0.33,161,8.39,28.52,0.336,6351.36
7/1/2022,15:23:08,7/1/2022 15:23:08,0.15,264.8,0.332,18.43,6.14,245.9,143.4,145.8,11.1,0.168,0.12,247.8,-0.29,161,8.4,28.6,0.335,32788.48
7/1/2022,15:28:08,7/1/2022 15:28:08,0.14,265.3,0.332,18.5,6.17,246,142.8,145.2,11.04,0.167,0.12,247.9,-0.43,161,8.39,28.688,0.336,32317.44
7/1/2022,15:33:08,7/1/2022 15:33:08,0.2,265.5,0.331,18.35,6.12,245.7,144.3,146.7,11.14,0.166,0.12,247.7,-0.36,161,8.4,28.771,0.334,32471.04
7/1/2022,15:38:08,7/1/2022 15:38:08,0.17,266,0.331,18.25,6.08,245.7,144.3,146.8,11.12,0.166,0.12,247.7,-0.33,161,8.4,28.882,0.334,30310.40
7/1/2022,15:43:08,7/1/2022 15:43:08,0.15,266.1,0.331,18.29,6.1,245.4,145.2,147.6,11.17,0.166,0.12,247.5,-0.37,161,8.42,28.938,0.334,28252.16
7/1/2022,15:48:08,7/1/2022 15:48:08,0.14,266.2,0.331,18.13,6.04,245.1,146.9,149.4,11.29,0.165,0.12,247.2,-0.36,161,8.42,29.016,0.334,7275.52
7/1/2022,15:53:08,7/1/2022 15:53:08,0.15,266.8,0.33,18.16,6.05,245,146.7,149.2,11.25,0.164,0.12,247.2,-0.38,161,8.42,29.164,0.333,25958.40
7/1/2022,15:58:08,7/1/2022 15:58:08,0.16,266.8,0.33,18.22,6.07,244.9,147.6,150.1,11.31,0.164,0.12,247.1,-0.34,161,8.42,29.173,0.333,25354.24
7/1/2022,16:03:08,7/1/2022 16:03:08,0.19,266.8,0.329,18.18,6.06,244.9,147.2,149.6,11.27,0.162,0.12,247,-0.39,161,8.42,29.188,0.332,24104.96
7/1/2022,16:08:08,7/1/2022 16:08:08,0.17,267,0.329,18.17,6.06,244.8,148.3,150.8,11.35,0.163,0.12,247,-0.37,161,8.42,29.241,0.332,23019.52
7/1/2022,16:13:08,7/1/2022 16:13:08,0.17,267,0.329,18.1,6.03,244.4,147.6,150.1,11.28,0.163,0.12,246.6,-0.38,160,8.42,29.311,0.332,22128.64
7/1/2022,16:18:08,7/1/2022 16:18:08,0.15,267.6,0.328,18,6,244.2,147.9,150.4,11.28,0.162,0.12,246.5,-0.36,160,8.43,29.468,0.328,21135.36
7/1/2022,16:23:08,7/1/2022 16:23:08,0.17,267.8,0.329,18.03,6.01,244.3,148,150.5,11.28,0.163,0.12,246.6,-0.39,160,8.43,29.502,0.331,20234.24
7/1/2022,16:28:08,7/1/2022 16:28:08,0.16,267.3,0.329,18.16,6.05,243.9,147.5,150,11.25,0.163,0.12,246.3,-0.4,160,8.43,29.478,0.332,16235.52
7/1/2022,16:33:08,7/1/2022 16:33:08,0.16,268.4,0.329,17.94,5.98,244,148.1,150.6,11.25,0.162,0.12,246.4,-0.32,160,8.44,29.676,0.33,18350.08
7/1/2022,16:38:08,7/1/2022 16:38:08,0.15,267.1,0.328,18.37,6.12,243.5,148.7,151.2,11.33,0.161,0.11,245.8,-0.39,160,8.44,29.525,0.33,13532.16
7/1/2022,16:43:08,7/1/2022 16:43:08,0.23,267.3,0.328,18.02,6.01,243.2,149.9,152.4,11.4,0.161,0.11,245.6,-0.35,160,8.45,29.617,0.33,15918.08
7/1/2022,16:48:08,7/1/2022 16:48:08,0.19,267.9,0.328,18.24,6.08,243.7,148.7,151.2,11.3,0.161,0.11,246.1,-0.36,160,8.44,29.637,0.33,12876.80
7/1/2022,16:53:08,7/1/2022 16:53:08,0.19,267.3,0.327,18.48,6.16,243.3,147.8,150.2,11.24,0.161,0.11,245.7,-0.35,160,8.44,29.591,0.329,11120.64
7/1/2022,16:58:08,7/1/2022 16:58:08,0.18,268.1,0.327,18.19,6.06,243.4,148.6,151.1,11.28,0.161,0.11,245.9,-0.34,160,8.44,29.731,0.33,9456.64
7/1/2022,17:03:08,7/1/2022 17:03:08,0.2,267.8,0.326,18.35,6.11,243.2,147.3,149.7,11.18,0.159,0.11,245.7,-0.39,160,8.45,29.716,0.328,8360.96
7/1/2022,17:08:08,7/1/2022 17:08:08,0.19,267.4,0.326,18.5,6.16,243,146.1,148.6,11.1,0.159,0.11,245.4,-0.35,160,8.44,29.698,0.329,5580.80
7/1/2022,17:13:08,7/1/2022 17:13:08,0.23,267.4,0.325,18.39,6.13,242.9,145.8,148.3,11.07,0.157,0.11,245.4,-0.35,159,8.44,29.703,0.328,6868.48
7/1/2022,17:18:08,7/1/2022 17:18:08,0.16,267.3,0.325,18.44,6.15,242.7,148.5,151,11.27,0.157,0.11,245.1,-0.43,159,8.45,29.738,0.328,4058.88
7/1/2022,17:23:08,7/1/2022 17:23:08,0.16,267,0.325,18.54,6.18,242.6,146.9,149.3,11.15,0.157,0.11,245,-0.34,159,8.45,29.706,0.327,3496.96
7/1/2022,17:28:08,7/1/2022 17:28:08,0.14,267.1,0.325,18.46,6.15,242.7,145.8,148.2,11.07,0.157,0.11,245.1,-0.37,159,8.45,29.698,0.327,3637.76
7/1/2022,17:33:08,7/1/2022 17:33:08,0.18,266.3,0.325,18.71,6.24,242.9,142.7,145.1,10.88,0.157,0.11,245.3,-0.39,159,8.44,29.497,0.328,3353.60
7/1/2022,17:38:08,7/1/2022 17:38:08,0.15,266.6,0.325,18.64,6.21,242.6,144.4,146.8,10.98,0.157,0.11,245,-0.37,159,8.45,29.607,0.327,3745.28
7/1/2022,17:43:08,7/1/2022 17:43:08,0.15,266.3,0.324,18.84,6.28,242.6,143.4,145.8,10.91,0.156,0.11,245,-0.35,159,8.44,29.555,0.326,4569.60
7/1/2022,17:48:08,7/1/2022 17:48:08,0.17,265.9,0.323,19.07,6.35,242.8,141.3,143.7,10.78,0.155,0.11,245,-0.35,159,8.43,29.449,0.325,3536.64
7/1/2022,17:53:08,7/1/2022 17:53:08,0.17,265.6,0.323,18.95,6.32,242.5,140.6,143,10.72,0.155,0.11,244.8,-0.37,159,8.43,29.464,0.326,3306.24
7/1/2022,17:58:08,7/1/2022 17:58:08,0.19,265.1,0.322,19.38,6.46,242.8,138.1,140.4,10.56,0.153,0.11,245,-0.36,159,8.41,29.282,0.321,3075.84
7/1/2022,18:03:08,7/1/2022 18:03:08,0.19,265.5,0.322,19.38,6.46,243.6,135.1,137.4,10.35,0.152,0.11,245.7,-0.38,160,8.39,29.212,0.325,2108.80
7/1/2022,18:08:08,7/1/2022 18:08:08,0.22,265.4,0.321,19.72,6.57,243.9,134,136.3,10.28,0.152,0.12,246,-0.32,160,8.38,29.141,0.323,1984.64
7/1/2022,18:13:08,7/1/2022 18:13:08,0.2,265.1,0.322,19.89,6.63,244,131.3,133.5,10.08,0.153,0.12,246.1,-0.33,160,8.38,29.045,0.324,1900.16
7/1/2022,18:18:08,7/1/2022 18:18:08,0.2,265,0.322,19.96,6.65,244.5,131.3,133.5,10.11,0.152,0.12,246.5,-0.29,160,8.35,28.93,0.324,1818.88
7/1/2022,18:23:08,7/1/2022 18:23:08,0.18,264.3,0.321,20.38,6.79,245,125.9,128,9.73,0.151,0.12,246.9,-0.27,161,8.31,28.692,0.323,1743.36
7/1/2022,18:28:08,7/1/2022 18:28:08,0.18,263.6,0.32,20.49,6.83,245.6,123,125.1,9.55,0.15,0.12,247.3,-0.29,161,8.28,28.446,0.322,1657.60
