Date,Temperature(Deg C),Specific Conductance(uS/m),Dissolved Oxygen(mg/L),pH(SU),Oxidation-Reduction Potential(mV),Turbidity(NTU),Chlorophyll a (ug/L)
02/17/05,9.27,168,11.57,8.14,293.21,2.97,2.6
02/18/05,9.25,169,11.53,8.14,292.18,2.33,2.3
02/19/05,9.22,169,11.49,8.16,289.13,1.89,2.3
02/20/05,9.02,166,11.62,8.25,288.57,2.40,4.5
02/21/05,9.47,169,11.36,8.18,286.34,2.23,2.7
02/22/05,9.45,169,11.35,8.18,285.98,2.04,2.5
02/23/05,9.26,166,11.29,8.14,286.00,2.09,2.0
02/24/05,9.22,162,11.21,8.12,286.08,3.89,2.0
02/25/05,9.29,156,11.12,8.09,287.40,6.73,2.1
02/26/05,9.71,149,10.87,7.99,288.04,11.34,2.1
02/27/05,9.95,147,10.89,7.98,288.74,10.32,2.3
02/28/05,10.14,151,11.13,8.00,289.05,9.64,2.3
03/01/05,9.68,152,11.26,8.06,289.64,8.89,2.5
03/02/05,9.28,150,11.38,8.12,290.55,7.31,2.8
03/03/05,9.47,150,11.43,8.12,291.03,6.53,3.0
03/04/05,9.80,149,11.40,8.08,291.06,6.47,2.9
03/05/05,10.37,150,11.36,8.11,290.79,6.59,3.2
03/06/05,10.65,150,11.33,8.12,291.02,5.11,2.9
03/07/05,10.85,149,11.23,8.14,293.41,5.36,3.4
03/08/05,10.56,150,11.06,8.14,295.71,8.15,3.2
03/09/05,10.38,150,11.02,8.13,297.89,5.19,2.9
03/10/05,10.08,150,11.06,8.15,299.18,4.95,2.9
03/11/05,9.89,152,11.01,8.15,298.84,5.41,3.0
03/12/05,9.97,155,10.96,8.16,299.48,4.66,2.9
03/13/05,10.20,157,10.91,8.16,301.16,4.30,2.7
03/14/05,10.09,157,10.96,8.18,302.75,4.13,2.7
03/15/05,9.93,156,11.06,8.22,303.77,4.00,3.1
03/16/05,9.84,154,11.09,8.22,304.23,3.66,3.3
03/17/05,10.09,154,11.18,8.27,304.43,3.49,3.2
03/18/05,10.11,154,11.54,8.42,305.75,3.71,3.6
