Sample,ElapsedHours,DateTime,Light_lux,Temp_C,pH,Depth_m,ODO_PercLocSat,ODO_mgL,SpCond_uScm,fDOM_RFU,Chlorophyll_RFU,TAL_PC_RFU,Ca,Mg,Na,K,Sulfate,Chloride,Si,S,P,Sb,As,Ba,Be,Cd,Cr,Cu,Pb,Se,Tl,Nitrate
EFC 07-01,0,7/2/2022 0:00,0.00,21.865,7.72,0.33,67.6,5.83,250.6,7.96,0.23,0.04,33000,6330,1647,794,6373,2197,3770,"2,402.00",22.3,0.56,1.08,24.66,0.08,0.2,0.25,22.61,0.58,-0.22,0.24,27
EFC 07-02,4,7/2/2022 4:00,0.00,21.116,7.73,0.327,68,5.95,250.2,8.13,0.24,0.11,33500,6480,1679,816,6344,2195,3810,"2,390.00",26,0.51,0.79,25.76,0.03,0.08,0.15,6.5,0.09,0.21,0.15,23
EFC 07-03,8,7/2/2022 8:00,3403.52,21.099,7.79,0.345,78.5,6.86,253.4,7.81,0.23,0.09,33900,6380,1711,839,6234,2227,3800,"2,339.00",19.9,0.35,0.67,26,0.02,0.06,0.08,5.05,0.04,-0.28,0.12,47
EFC 07-04,12,7/2/2022 12:00,44380.16,24.811,8.13,0.34,122.7,10,249.1,6.73,0.21,-0.12,34700,6500,1661,799,6024,2179,3810,"2,278.00",15.2,0.3,0.59,25.65,0.01,0.05,0.08,4.33,0.04,-0.3,0.08,56
EFC 07-05,16,7/2/2022 16:00,18841.60,26.613,8.43,0.321,140.8,11.1,243,6.84,0.19,-0.27,35500,6670,1664,787,6103,2173,3800,"2,295.00",17,0.24,0.59,25.01,0.01,0.04,0.06,3.01,0.03,-1.44,0.06,46
EFC 07-06,20,7/2/2022 20:00,226.72,24.303,7.99,0.325,93.9,7.73,246.5,7.71,0.21,-0.12,34200,6560,1641,740,5989,2109,3770,"2,315.00",14.6,0.22,0.57,24.35,0.01,0.05,0.05,2.9,0.02,-0.94,0.05,27
EFC 07-07,24,7/3/2022 0:00,0.00,22.366,7.81,0.345,76.1,6.49,235.3,8.57,0.29,0.04,32900,6430,1658,799,5900,2148,3780,"2,308.00",20.2,0.18,0.62,24.2,0.01,0.05,0.03,2.36,0.02,-0.25,0.04,11
EFC 07-08,28,7/3/2022 4:00,0.00,21.906,7.64,0.346,67.4,5.8,250.4,9.25,0.26,0.01,32400,6390,1736,899,5906,2268,3810,"2,282.00",6.5,0.25,0.61,24.25,0.01,0.09,0.03,3.1,0.04,0.09,0.04,46
EFC 07-09,32,7/3/2022 8:00,5245.44,22.07,7.7,0.368,79.4,6.82,247.2,10,0.27,0.04,34800,6600,1629,813,6504,2129,3800,"2,444.00",16.9,0.24,0.53,26.32,0.01,0.06,0.06,3.55,0.02,0.22,0.04,65
EFC 07-10,36,7/3/2022 12:00,44257.28,25.115,8.1,0.368,123.4,10,238.9,8.16,0.23,-0.11,35100,6490,1605,757,6191,2055,3760,"2,314.00",7.6,0.21,0.52,24.68,0.01,0.06,0.04,3.05,0.01,-1,0.03,67
