Date,Time,DateTime,Chlorophyll_RFU,Depth_m,fDOM_RFU,ODO_PercSat,ODO_mg_L,SpCond_uS_cm,pH,Temp_C,PAR
10/23/2022,11:05:29,10/23/2022 11:05,1.02,0.487,2.71,111.1,11.21,6449.9,8.13,13.975,1068.1
10/23/2022,11:10:29,10/23/2022 11:10,0.27,0.486,2.8,111.4,11.25,6481.9,8.11,13.944,1060.1
10/23/2022,11:15:29,10/23/2022 11:15,0.31,0.485,2.76,111.9,11.3,6455.5,8.13,13.956,940.86
10/23/2022,11:20:29,10/23/2022 11:20,0.21,0.484,2.74,114.8,11.59,6445.3,8.25,13.949,1041.3
10/23/2022,11:25:29,10/23/2022 11:25,0.23,0.483,2.76,115.1,11.61,6449.1,8.24,13.966,993.76
10/23/2022,11:30:29,10/23/2022 11:30,0.23,0.482,2.77,116.1,11.71,6443.7,8.28,13.988,145.95
10/23/2022,11:35:29,10/23/2022 11:35,0.33,0.481,2.75,116.2,11.72,6443.1,8.28,14.005,905.18
10/23/2022,11:40:29,10/23/2022 11:40,0.26,0.481,2.76,117.1,11.8,6435.8,8.3,14.021,588.12
10/23/2022,11:45:29,10/23/2022 11:45,0.15,0.48,2.75,117.8,11.86,6430.1,8.32,14.045,909.43
10/23/2022,11:50:29,10/23/2022 11:50,0.22,0.478,2.73,118.5,11.94,6431.9,8.34,14.035,867.44
10/23/2022,11:55:29,10/23/2022 11:55,0.25,0.477,2.73,119.3,12.01,6430.1,8.36,14.056,585.17
10/23/2022,12:00:29,10/23/2022 12:00,0.28,0.475,2.75,119.5,12.03,6425.9,8.36,14.084,288.04
10/23/2022,12:05:29,10/23/2022 12:05,0.22,0.474,2.76,119.7,12.05,6426.2,8.37,14.088,343.25
10/23/2022,12:10:29,10/23/2022 12:10,0.28,0.473,2.75,120.4,12.11,6424.4,8.38,14.103,467.48
10/23/2022,12:15:29,10/23/2022 12:15,0.3,0.472,2.75,120.9,12.16,6421.4,8.39,14.11,317.07
10/23/2022,12:20:29,10/23/2022 12:20,0.21,0.471,2.76,121.9,12.26,6418.9,8.41,14.125,154.4
10/23/2022,12:25:29,10/23/2022 12:25,0.25,0.471,2.77,122.5,12.32,6414.2,8.42,14.13,129.58
10/23/2022,12:30:29,10/23/2022 12:30,0.22,0.469,2.78,123.2,12.39,6410.8,8.43,14.14,136.11
10/23/2022,12:35:29,10/23/2022 12:35,0.26,0.468,2.79,123.7,12.43,6407.9,8.44,14.172,224.32
10/23/2022,12:40:29,10/23/2022 12:40,0.19,0.467,2.78,124.9,12.55,6398.7,8.46,14.188,282.05
10/23/2022,12:45:29,10/23/2022 12:45,0.16,0.466,2.78,125.9,12.64,6401.3,8.48,14.197,463.19
10/23/2022,12:50:29,10/23/2022 12:50,0.17,0.466,2.77,126.8,12.73,6394.1,8.49,14.212,303.04
10/23/2022,12:55:29,10/23/2022 12:55,0.23,0.466,2.79,127.1,12.76,6395.2,8.49,14.223,230.97
10/23/2022,13:00:29,10/23/2022 13:00,0.16,0.465,2.81,126.5,12.7,6396.1,8.48,14.215,291.64
10/23/2022,13:05:29,10/23/2022 13:05,0.18,0.463,2.79,125,12.56,6405.2,8.46,14.202,247.6
10/23/2022,13:10:29,10/23/2022 13:10,0.17,0.464,2.78,124,12.46,6404.3,8.44,14.194,386.03
10/23/2022,13:15:29,10/23/2022 13:15,0.19,0.462,2.78,122.2,12.27,6413.2,8.41,14.179,441.28
10/23/2022,13:20:29,10/23/2022 13:20,0.16,0.462,2.78,120.9,12.15,6418.1,8.39,14.158,412.99
10/23/2022,13:25:29,10/23/2022 13:25,0.18,0.461,2.78,120.9,12.14,6420,8.39,14.166,650.24
10/23/2022,13:30:29,10/23/2022 13:30,0.27,0.459,2.78,120.8,12.13,6419.4,8.39,14.166,442.14
10/23/2022,13:35:29,10/23/2022 13:35,0.33,0.459,2.79,121,12.16,6418.2,8.4,14.169,302.34
10/23/2022,13:40:29,10/23/2022 13:40,0.26,0.458,2.79,121.7,12.23,6418.7,8.41,14.167,320.01
10/23/2022,13:45:29,10/23/2022 13:45,0.16,0.457,2.8,122.2,12.28,6415.3,8.42,14.181,706.93
10/23/2022,13:50:29,10/23/2022 13:50,0.21,0.457,2.79,123.1,12.36,6409.8,8.43,14.2,652.71
10/23/2022,13:55:29,10/23/2022 13:55,0.2,0.455,2.8,123.9,12.43,6408,8.45,14.216,529.89
10/23/2022,14:00:29,10/23/2022 14:00,0.26,0.454,2.81,124.2,12.46,6406.4,8.45,14.227,244.28
10/23/2022,14:05:29,10/23/2022 14:05,0.23,0.454,2.8,125.2,12.56,6398.4,8.47,14.233,334.77
10/23/2022,14:10:29,10/23/2022 14:10,0.2,0.454,2.81,126.8,12.72,6388.2,8.5,14.248,169.42
10/23/2022,14:15:29,10/23/2022 14:15,0.24,0.454,2.79,126.7,12.7,6397.8,8.5,14.253,71.878
10/23/2022,14:20:29,10/23/2022 14:20,0.18,0.452,2.81,127.3,12.76,6388.5,8.51,14.255,69.538
10/23/2022,14:25:29,10/23/2022 14:25,0.25,0.45,2.79,127.8,12.81,6394.7,8.51,14.272,67.725
10/23/2022,14:30:29,10/23/2022 14:30,0.24,0.449,2.8,127.7,12.8,6390.6,8.51,14.278,66.098
10/23/2022,14:35:29,10/23/2022 14:35,0.19,0.448,2.79,127.9,12.81,6390.9,8.52,14.287,64.73
10/23/2022,14:40:29,10/23/2022 14:40,0.13,0.448,2.81,128,12.82,6391,8.52,14.295,63.59
10/23/2022,14:45:29,10/23/2022 14:45,0.25,0.447,2.79,128.3,12.85,6387,8.52,14.302,62.173
10/23/2022,14:50:29,10/23/2022 14:50,0.22,0.446,2.8,129,12.92,6385.2,8.53,14.32,61.219
10/23/2022,14:55:29,10/23/2022 14:55,0.26,0.445,2.81,129,12.92,6386.5,8.54,14.325,60.011
10/23/2022,15:00:29,10/23/2022 15:00,0.3,0.445,2.81,129.5,12.97,6384.9,8.54,14.327,58.949
10/23/2022,15:05:29,10/23/2022 15:05,0.37,0.445,2.8,129.4,12.96,6387.7,8.54,14.324,58.173
10/23/2022,15:10:29,10/23/2022 15:10,0.27,0.445,2.82,129.5,12.97,6383.7,8.54,14.327,57.184
10/23/2022,15:15:29,10/23/2022 15:15,0.3,0.444,2.82,129.5,12.97,6383,8.55,14.33,55.668
10/23/2022,15:20:29,10/23/2022 15:20,0.41,0.444,2.81,129.7,12.98,6381.3,8.55,14.346,54.416
10/23/2022,15:25:29,10/23/2022 15:25,0.35,0.442,2.77,130.6,13.05,6383.2,8.55,14.446,52.825
10/23/2022,15:30:29,10/23/2022 15:30,0.38,0.442,2.79,130.4,13.02,6382.7,8.55,14.478,51.475
10/23/2022,15:35:29,10/23/2022 15:35,0.25,0.441,2.74,129.8,12.94,6391.5,8.54,14.554,49.981
10/23/2022,15:40:29,10/23/2022 15:40,0.33,0.44,2.78,131,13.07,6408.9,8.56,14.511,48.454
10/23/2022,15:45:29,10/23/2022 15:45,0.24,0.44,2.64,127,12.62,6405.6,8.5,14.692,46.804
10/23/2022,15:50:29,10/23/2022 15:50,0.21,0.44,2.69,127.9,12.72,6396.8,8.52,14.661,45.162
10/23/2022,15:55:29,10/23/2022 15:55,0.23,0.439,2.68,128.2,12.74,6397.1,8.52,14.669,43.361
10/23/2022,16:00:29,10/23/2022 16:00,0.27,0.439,2.72,128.4,12.77,6390.7,8.52,14.645,41.62
10/23/2022,16:05:29,10/23/2022 16:05,0.22,0.44,2.72,128.5,12.77,6394.5,8.53,14.655,39.632
10/23/2022,16:10:29,10/23/2022 16:10,0.34,0.441,2.74,128.9,12.82,6393.9,8.53,14.636,36.843
10/23/2022,16:15:29,10/23/2022 16:15,0.19,0.441,2.7,128.6,12.78,6396.2,8.52,14.681,30.923
10/23/2022,16:20:29,10/23/2022 16:20,0.17,0.44,2.7,128.1,12.73,6396.7,8.52,14.7,25.421
10/23/2022,16:25:29,10/23/2022 16:25,0.37,0.44,2.74,128.1,12.73,6395.5,8.52,14.688,25.772
10/23/2022,16:30:29,10/23/2022 16:30,0.2,0.44,2.73,128.9,12.81,6393.5,8.53,14.691,24.346
10/23/2022,16:35:29,10/23/2022 16:35,0.2,0.44,2.73,129.1,12.83,6391.8,8.53,14.679,20.825
10/23/2022,16:40:29,10/23/2022 16:40,0.33,0.44,2.68,129.1,12.82,6396.3,8.53,14.72,17.015
