Date,Time,DateTime,days,Chlorophyll_RFU,Depth_m,fDOM_QSU,fDOM_RFU,ODO_PerSat,ODO_PerLocSat,ODO_mg_L,SpCond_uS_cm,TAL_PC_RFU,pH,Light_lux,Turbidity_FNU,Temp_C
3/27/2023,16:30:00,3/27/2023 16:30,0.01,0.45,0.411,22.25,7.42,108.1,110.4,9.98,120.3,0.29,7.55,5173.76,2.96,19.194
3/27/2023,16:35:00,3/27/2023 16:35,0.02,0.4,0.391,22.53,7.52,108.5,110.8,10.04,120.4,0.24,7.54,5335.04,2.59,19.131
3/27/2023,16:40:00,3/27/2023 16:40,0.02,0.49,0.391,22.77,7.6,108.2,110.5,10.01,120.6,0.29,7.51,3784.96,1.69,19.114
3/27/2023,16:45:00,3/27/2023 16:45,0.02,0.37,0.392,22.42,7.48,110.7,113.1,10.22,120.4,0.29,7.56,8140.8,1.81,19.212
3/27/2023,16:50:00,3/27/2023 16:50,0.03,0.32,0.392,21.86,7.29,115,117.5,10.59,120.9,0.23,7.69,6548.48,1.27,19.373
3/27/2023,16:55:00,3/27/2023 16:55,0.03,0.34,0.392,21.89,7.3,116,118.4,10.67,120.8,0.22,7.75,5480.96,1.26,19.402
3/27/2023,17:00:00,3/27/2023 17:00,0.03,0.32,0.393,22.06,7.36,115.8,118.3,10.66,120.6,0.24,7.77,7907.84,1.36,19.374
3/27/2023,17:05:00,3/27/2023 17:05,0.04,0.33,0.393,22.03,7.35,115.3,117.7,10.62,120.7,0.26,7.74,6228.48,1.13,19.347
3/27/2023,17:10:00,3/27/2023 17:10,0.04,0.32,0.393,21.67,7.23,116.4,118.9,10.7,120.7,0.26,7.79,6254.08,1.18,19.482
3/27/2023,17:15:00,3/27/2023 17:15,0.05,0.33,0.392,21.83,7.28,116.7,119.1,10.7,120.6,0.24,7.8,5918.72,1.2,19.543
3/27/2023,17:20:00,3/27/2023 17:20,0.05,0.32,0.394,21.59,7.2,117,119.5,10.74,120.8,0.21,7.82,4629.76,1.1,19.539
3/27/2023,17:25:00,3/27/2023 17:25,0.05,0.27,0.394,21.84,7.28,117.8,120.3,10.81,120.8,0.22,7.84,4538.88,1.05,19.529
3/27/2023,17:30:00,3/27/2023 17:30,0.06,,0.395,21.9,7.31,118.9,121.4,10.93,120.9,0.47,7.88,3651.84,1.15,19.451
3/27/2023,17:35:00,3/27/2023 17:35,0.06,0.33,0.395,22.74,7.59,120.9,123.4,11.16,120.5,0.24,7.92,1853.44,1.63,19.233
3/27/2023,17:40:00,3/27/2023 17:40,0.06,0.35,0.395,22.59,7.53,117.3,119.8,10.87,120.5,0.24,7.76,1751.68,2.08,19.063
3/27/2023,17:45:00,3/27/2023 17:45,0.07,0.35,0.395,22.31,7.44,114.2,116.6,10.58,120.5,0.28,7.72,1669.12,2.03,19.035
3/27/2023,17:50:00,3/27/2023 17:50,0.07,0.36,0.396,22.94,7.65,120.7,123.3,11.23,120.1,0.26,7.91,1614.08,2.18,18.842
3/27/2023,17:55:00,3/27/2023 17:55,0.07,0.35,0.398,22.73,7.58,113.2,115.5,10.56,119,0.28,7.76,1560.32,2.02,18.708
3/27/2023,18:00:00,3/27/2023 18:00,0.08,0.38,0.399,22.89,7.64,115.7,118.2,10.79,120.5,0.29,7.77,1552.64,1.73,18.755
3/27/2023,18:05:00,3/27/2023 18:05,0.08,0.33,0.4,22.56,7.53,113.7,116.1,10.55,121,0.24,7.78,1540.48,1.49,18.958
3/27/2023,18:10:00,3/27/2023 18:10,0.08,0.35,0.401,22.66,7.56,112.3,114.7,10.44,121.1,0.26,7.74,1448.96,1.54,18.869
3/27/2023,18:15:00,3/27/2023 18:15,0.09,0.35,0.402,22.53,7.52,111.3,113.7,10.36,121.4,0.27,7.7,1350.4,1.43,18.815
3/27/2023,18:20:00,3/27/2023 18:20,0.09,0.36,0.404,22.47,7.5,114.3,116.8,10.64,121,0.28,7.76,1217.92,1.28,18.845
3/27/2023,18:25:00,3/27/2023 18:25,0.09,0.38,0.406,22.54,7.52,112.9,115.3,10.52,121.1,0.28,7.74,1171.84,1.45,18.772
3/27/2023,18:30:00,3/27/2023 18:30,0.1,0.38,0.406,22.41,7.48,109.6,112,10.25,121.3,0.3,7.64,1095.04,1.73,18.617
3/27/2023,18:35:00,3/27/2023 18:35,0.1,0.43,0.407,22.33,7.45,107.4,109.7,10.06,121.4,0.31,7.58,962.56,1.91,18.536
