Date,Time,DateTime,days,Chlorophyll_RFU,Cond_uS_cm,Depth_m,fDOM_QSU,fDOM_RFU,ODO_PerSat,ODO_PerLocSat,ODO_mg_L,Pressure_psi_a,Sal_psu,SpCond_uS_cm,TAL_PC_RFU,TDS_mg_L,pH,Temp_C,Light_lux,Turbidity_FNU
3/27/2023,16:30:00,3/27/2023 16:30,0.01,0.45,107,0.411,22.25,7.42,108.1,110.4,9.98,0.28,0.06,120.3,0.29,78,7.55,19.194,5173.76,2.96
3/27/2023,16:35:00,3/27/2023 16:35,0.02,0.4,106.9,0.391,22.53,7.52,108.5,110.8,10.04,0.251,0.06,120.4,0.24,78,7.54,19.131,5335.04,2.59
3/27/2023,16:40:00,3/27/2023 16:40,0.02,0.49,107.1,0.391,22.77,7.6,108.2,110.5,10.01,0.251,0.06,120.6,0.29,78,7.51,19.114,3784.96,1.69
3/27/2023,16:45:00,3/27/2023 16:45,0.02,0.37,107.1,0.392,22.42,7.48,110.7,113.1,10.22,0.253,0.06,120.4,0.29,78,7.56,19.212,8140.8,1.81
3/27/2023,16:50:00,3/27/2023 16:50,0.03,0.32,107.9,0.392,21.86,7.29,115,117.5,10.59,0.252,0.06,120.9,0.23,79,7.69,19.373,6548.48,1.27
3/27/2023,16:55:00,3/27/2023 16:55,0.03,0.34,107.9,0.392,21.89,7.3,116,118.4,10.67,0.253,0.06,120.8,0.22,79,7.75,19.402,5480.96,1.26
3/27/2023,17:00:00,3/27/2023 17:00,0.03,0.32,107.7,0.393,22.06,7.36,115.8,118.3,10.66,0.254,0.06,120.6,0.24,78,7.77,19.374,7907.84,1.36
3/27/2023,17:05:00,3/27/2023 17:05,0.04,0.33,107.7,0.393,22.03,7.35,115.3,117.7,10.62,0.253,0.06,120.7,0.26,78,7.74,19.347,6228.48,1.13
3/27/2023,17:10:00,3/27/2023 17:10,0.04,0.32,108,0.393,21.67,7.23,116.4,118.9,10.7,0.253,0.06,120.7,0.26,78,7.79,19.482,6254.08,1.18
3/27/2023,17:15:00,3/27/2023 17:15,0.05,0.33,108.1,0.392,21.83,7.28,116.7,119.1,10.7,0.252,0.06,120.6,0.24,78,7.8,19.543,5918.72,1.2
3/27/2023,17:20:00,3/27/2023 17:20,0.05,0.32,108.2,0.394,21.59,7.2,117,119.5,10.74,0.255,0.06,120.8,0.21,79,7.82,19.539,4629.76,1.1
3/27/2023,17:25:00,3/27/2023 17:25,0.05,0.27,108.2,0.394,21.84,7.28,117.8,120.3,10.81,0.255,0.06,120.8,0.22,79,7.84,19.529,4538.88,1.05
3/27/2023,17:30:00,3/27/2023 17:30,0.06,,108,0.395,21.9,7.31,118.9,121.4,10.93,0.256,0.06,120.9,0.47,79,7.88,19.451,3651.84,1.15
3/27/2023,17:35:00,3/27/2023 17:35,0.06,0.33,107.3,0.395,22.74,7.59,120.9,123.4,11.16,0.256,0.06,120.5,0.24,78,7.92,19.233,1853.44,1.63
3/27/2023,17:40:00,3/27/2023 17:40,0.06,0.35,106.8,0.395,22.59,7.53,117.3,119.8,10.87,0.256,0.06,120.5,0.24,78,7.76,19.063,1751.68,2.08
3/27/2023,17:45:00,3/27/2023 17:45,0.07,0.35,106.8,0.395,22.31,7.44,114.2,116.6,10.58,0.257,0.06,120.5,0.28,78,7.72,19.035,1669.12,2.03
3/27/2023,17:50:00,3/27/2023 17:50,0.07,0.36,106,0.396,22.94,7.65,120.7,123.3,11.23,0.259,0.06,120.1,0.26,78,7.91,18.842,1614.08,2.18
3/27/2023,17:55:00,3/27/2023 17:55,0.07,0.35,104.7,0.398,22.73,7.58,113.2,115.5,10.56,0.261,0.06,119,0.28,77,7.76,18.708,1560.32,2.02
3/27/2023,18:00:00,3/27/2023 18:00,0.08,0.38,106.1,0.399,22.89,7.64,115.7,118.2,10.79,0.262,0.06,120.5,0.29,78,7.77,18.755,1552.64,1.73
3/27/2023,18:05:00,3/27/2023 18:05,0.08,0.33,107.1,0.4,22.56,7.53,113.7,116.1,10.55,0.264,0.06,121,0.24,79,7.78,18.958,1540.48,1.49
3/27/2023,18:10:00,3/27/2023 18:10,0.08,0.35,106.9,0.401,22.66,7.56,112.3,114.7,10.44,0.266,0.06,121.1,0.26,79,7.74,18.869,1448.96,1.54
3/27/2023,18:15:00,3/27/2023 18:15,0.09,0.35,107.1,0.402,22.53,7.52,111.3,113.7,10.36,0.267,0.06,121.4,0.27,79,7.7,18.815,1350.4,1.43
3/27/2023,18:20:00,3/27/2023 18:20,0.09,0.36,106.8,0.404,22.47,7.5,114.3,116.8,10.64,0.27,0.06,121,0.28,79,7.76,18.845,1217.92,1.28
3/27/2023,18:25:00,3/27/2023 18:25,0.09,0.38,106.7,0.406,22.54,7.52,112.9,115.3,10.52,0.272,0.06,121.1,0.28,79,7.74,18.772,1171.84,1.45
3/27/2023,18:30:00,3/27/2023 18:30,0.1,0.38,106.5,0.406,22.41,7.48,109.6,112,10.25,0.273,0.06,121.3,0.3,79,7.64,18.617,1095.04,1.73
3/27/2023,18:35:00,3/27/2023 18:35,0.1,0.43,106.4,0.407,22.33,7.45,107.4,109.7,10.06,0.274,0.06,121.4,0.31,79,7.58,18.536,962.56,1.91
