Site,date,time,variable,measurement
MC,10/3/2020,12:00:00 AM,Temp_C,2.838020465
MC,10/3/2020,12:30:00 AM,Temp_C,2.838020465
MC,10/3/2020,1:00:00 AM,Temp_C,2.838020465
MC,10/3/2020,1:30:00 AM,Temp_C,2.838020465
MC,10/3/2020,2:00:00 AM,Temp_C,2.233090932
MC,10/3/2020,2:30:00 AM,Temp_C,2.233090932
MC,10/3/2020,3:00:00 AM,Temp_C,1.6281614
MC,10/3/2020,3:30:00 AM,Temp_C,1.6281614
MC,10/3/2020,4:00:00 AM,Temp_C,1.023231868
MC,10/3/2020,4:30:00 AM,Temp_C,0.418302336
MC,10/3/2020,5:00:00 AM,Temp_C,-0.186627196
MC,10/3/2020,5:30:00 AM,Temp_C,-0.791556728
MC,10/3/2020,6:00:00 AM,Temp_C,-2.001415793
MC,10/3/2020,6:30:00 AM,Temp_C,-2.606345325
MC,10/3/2020,7:00:00 AM,Temp_C,-3.211274857
MC,10/3/2020,7:30:00 AM,Temp_C,-4.421133921
MC,10/3/2020,8:00:00 AM,Temp_C,-5.026063453
MC,10/3/2020,8:30:00 AM,Temp_C,-5.630992985
MC,10/3/2020,9:00:00 AM,Temp_C,-6.235922518
MC,10/3/2020,9:30:00 AM,Temp_C,-6.84085205
MC,10/3/2020,10:00:00 AM,Temp_C,-6.84085205
MC,10/3/2020,10:30:00 AM,Temp_C,-6.84085205
MC,10/3/2020,11:00:00 AM,Temp_C,-6.84085205
MC,10/3/2020,11:30:00 AM,Temp_C,-6.84085205
MC,10/3/2020,12:00:00 PM,Temp_C,-6.235922518
MC,10/3/2020,12:30:00 PM,Temp_C,-5.630992985
MC,10/3/2020,1:00:00 PM,Temp_C,-5.630992985
MC,10/3/2020,1:30:00 PM,Temp_C,-5.026063453
MC,10/3/2020,2:00:00 PM,Temp_C,-4.421133921
MC,10/3/2020,2:30:00 PM,Temp_C,-4.421133921
MC,10/3/2020,3:00:00 PM,Temp_C,-4.421133921
MC,10/3/2020,3:30:00 PM,Temp_C,-4.421133921
MC,10/3/2020,4:00:00 PM,Temp_C,-4.421133921
MC,10/3/2020,4:30:00 PM,Temp_C,-4.421133921
MC,10/3/2020,5:00:00 PM,Temp_C,-4.421133921
MC,10/3/2020,5:30:00 PM,Temp_C,-3.816204389
MC,10/3/2020,6:00:00 PM,Temp_C,-3.211274857
MC,10/3/2020,6:30:00 PM,Temp_C,-2.001415793
MC,10/3/2020,7:00:00 PM,Temp_C,-1.39648626
MC,10/3/2020,7:30:00 PM,Temp_C,0.418302336
MC,10/3/2020,8:00:00 PM,Temp_C,1.6281614
MC,10/3/2020,8:30:00 PM,Temp_C,2.233090932
MC,10/3/2020,9:00:00 PM,Temp_C,2.233090932
MC,10/3/2020,9:30:00 PM,Temp_C,2.838020465
MC,10/3/2020,10:00:00 PM,Temp_C,2.838020465
MC,10/3/2020,10:30:00 PM,Temp_C,2.838020465
MC,10/3/2020,11:00:00 PM,Temp_C,2.838020465
MC,10/3/2020,11:30:00 PM,Temp_C,2.838020465
MC,10/4/2020,12:00:00 AM,Temp_C,2.838020465
MC,10/4/2020,12:30:00 AM,Temp_C,2.838020465
MC,10/4/2020,1:00:00 AM,Temp_C,2.838020465
MC,10/4/2020,1:30:00 AM,Temp_C,2.233090932
MC,10/4/2020,2:00:00 AM,Temp_C,2.233090932
MC,10/4/2020,2:30:00 AM,Temp_C,1.6281614
MC,10/4/2020,3:00:00 AM,Temp_C,1.023231868
MC,10/4/2020,3:30:00 AM,Temp_C,0.418302336
MC,10/4/2020,4:00:00 AM,Temp_C,0.418302336
MC,10/4/2020,4:30:00 AM,Temp_C,-0.186627196
MC,10/4/2020,5:00:00 AM,Temp_C,-0.186627196
MC,10/4/2020,5:30:00 AM,Temp_C,-0.791556728
MC,10/4/2020,6:00:00 AM,Temp_C,-0.791556728
MC,10/4/2020,6:30:00 AM,Temp_C,-1.39648626
MC,10/4/2020,7:00:00 AM,Temp_C,-2.001415793
MC,10/4/2020,7:30:00 AM,Temp_C,-2.001415793
MC,10/4/2020,8:00:00 AM,Temp_C,-2.001415793
MC,10/4/2020,8:30:00 AM,Temp_C,-2.606345325
MC,10/4/2020,9:00:00 AM,Temp_C,-2.606345325
MC,10/4/2020,9:30:00 AM,Temp_C,-2.606345325
MC,10/4/2020,10:00:00 AM,Temp_C,-2.606345325
MC,10/4/2020,10:30:00 AM,Temp_C,-2.606345325
MC,10/4/2020,11:00:00 AM,Temp_C,-2.606345325
MC,10/4/2020,11:30:00 AM,Temp_C,-2.606345325
