SiteName,Stream,Lat,Lon,Elev_m_asl,SiteAbb,Temp_C,P_mmHg,SpC,Salinity_ppt,pH,ORP,Eh,Turbidity_NTU,DO,P,NH3,Fe,NO3,SO4,CaCO3
Nolensville high school bridge,MC,35.9429,-86.6517,193,MC0,,,,,,,,,,0.535,,,,,
Nolensville Park,MC,35.95395,-86.6697,184,MC1,24.2,748.7,580,0.25,8.48,125.3,312.3,1.46,,,,,,,
Culbertson Road,MC,36.00918,-86.7008,166,MC2,23.4,749.8,532,,8.07,177.2,364.2,3.75,,0.585,0.029,,,,
Ezel Park Road,MC,36.09059,-86.68635,153,MC3,25.9,751,540,0.26,8.27,171,358,3.6,,0.606,0.041,,,,
Whitsett Park,MC,36.1199,-86.7245,135,MC4,,,,,,,,,,0.572,0.025,,,,
Elm Hill ,MC,36.14489,-86.71289,120,MC5,,,,,,,,,,,,,,,
Lebanon Pike,MC,36.16436,-86.69952,117,MC6,25.1,752,534,,8.31,192,379,2.53,,0.613,,,,,
Nolensville Park,MC,35.95395,-86.6697,184,MC1,23.8,746.4,557,0.27,8.46,127.9,314.9,0.95,,0.528,0.016,0.033,0.615,58.5,207
Culbertson Road,MC,36.00918,-86.7008,166,MC2,26.4,747.7,514,0.25,8.34,146,333,4.37,,0.67,0.047,0.034,0.673,37,189
Ezel Park Road,MC,36.09059,-86.68635,153,MC3,29.5,749,546,,8.55,153.6,340.6,4,,26.3,0.037,0.041,0.675,65.8,173
Whitsett Park,MC,36.1199,-86.7245,135,MC4,27.1,749.8,539,0.26,8.53,145.6,332.6,2.7,,1.006,0.022,0.064,0.725,50.6,203
Elm Hill ,MC,36.14489,-86.71289,120,MC5,28.5,750.9,516,0.25,8.75,150,337,2.7,,4.11,,0.009,0.709,64.8,157
Lebanon Pike,MC,36.16436,-86.69952,117,MC6,27.9,751.3,552,0.26,8.53,171.5,358.5,2.8,,8.74,0.019,0.062,1.13,72.6,157
Lebanon Pike,MC,36.16436,-86.69952,117,MC6,24.8,751.3,563,0.27,7.81,131.3,318.3,5.19,5.2,0.577,0.027,,0.08,49.4,173
Elm Hill ,MC,36.14489,-86.71289,120,MC5,24.4,751,566,0.27,8.13,124.4,311.4,2.46,11,0.563,0.028,,0.418,76.7,178
Whitsett Park,MC,36.1199,-86.7245,135,MC4,24.8,750.3,584,0.28,8.14,146.3,333.3,4.67,6.8,0.569,0.017,,0.401,86.6,180
Ezel Park Road,MC,36.09059,-86.68635,153,MC3,25.3,749,562,0.27,8.19,161.9,348.9,4.55,8.7,0.547,,,0.279,51.6,185
Culbertson Road,MC,36.00918,-86.7008,166,MC2,24,747.4,347.2,0.17,7.92,107,294,31.54,7.3,1.05,0.027,,1.01,12.9,152
Nolensville Park,MC,35.95395,-86.6697,184,MC1,24.7,745.6,367.8,0.18,8.27,137.5,324.5,2,12.8,0.966,0.019,,0.845,26,116
Lebanon Pike,MC,36.16436,-86.69952,117,MC6,27.9,755.8,528,0.25,8.11,107.6,294.6,4.8,5.5,0.757,0.068,,0.411,62,162
Elm Hill ,MC,36.14489,-86.71289,120,MC5,29.6,755.2,560,0.27,8.26,113.6,300.6,2.2,11.6,0.75,0.045,,0.594,76.2,154
Whitsett Park,MC,36.1199,-86.7245,135,MC4,29.2,753.6,575,0.28,8.26,129,316,3.1,7.9,0.635,0.053,,0.504,77.6,171
Whitsett Park (location 2),MC,36.1199,-86.7245,135,MC4,28.7,754,573,0.27,8.21,102.4,289.4,4.5,,,,,,,
Ezell Park Road,MC,36.09059,-86.68635,153,MC3,31.3,752.2,593,0.28,8.33,108,295,4.06,8.4,0.544,0.02,,0.413,86.6,167
Culbertson Road,MC,36.00918,-86.7008,166,MC2,27.8,750.6,567,0.27,8.19,123,310,3.73,7.1,0.616,,,0.483,44.1,199
Nolensville Park,MC,35.95395,-86.6697,184,MC1,28.4,749.6,589,0.28,8.6,111.8,298.8,1.13,9.2,0.385,,,0.569,64.8,207
Lebanon Pike,MC,36.16436,-86.69952,117,MC6,25.9,754,541,0.26,7.82,132,319,4.03,6.9,0.622,,,0.265,67.7,144
Elm Hill ,MC,36.14489,-86.71289,120,MC5,27.4,753.1,566,0.27,8.18,147.1,334.1,3.26,8.3,0.541,,,0.073,76.6,151
Whitsett Park,MC,36.1199,-86.7245,135,MC4,28.7,752.1,585,0.28,8.14,167.2,354.2,2.84,7.2,0.479,0.005,,0.345,88.4,156
Ezell Park Road,MC,36.09059,-86.68635,153,MC3,28.9,750.9,631,0.3,8.23,158.2,345.2,3.8,,0.409,,,0.109,114,143
Culbertson Road,MC,36.00918,-86.7008,166,MC2,27,749.2,548,0.26,7.94,175.5,362.5,3.23,,0.971,0.019,,0.428,44.7,231
Nolensville Park,MC,35.95395,-86.6697,184,MC1,31.4,747.4,565,0.27,8.51,121.3,308.3,1.84,,0.553,0.016,,0.26,68.1,161
Lebanon Pike,MC,36.16436,-86.69952,117,MC6,24.4,755.8,487.3,0.23,7.64,304.5,491.5,4.5,6.5,0.687,0.017,,0.706,48.5,158
Elm Hill ,MC,36.14489,-86.71289,120,MC5,25.8,755,508,0.24,8.05,268.6,455.6,3.9,8.6,0.707,0.012,,0.578,51.3,175
Whitsett Park,MC,36.1199,-86.7245,135,MC4,25.6,754.3,515,0.25,8.07,256,443,5.83,7.3,0.656,0.007,,0.49,53.6,176
Ezell Park Road,MC,36.09059,-86.68635,153,MC3,25.8,753.7,524,0.26,8.08,253.2,440.2,3.6,7.5,0.555,0.005,,0.411,51.1,242
Culbertson Road,MC,36.00918,-86.7008,166,MC2,24,752.1,501,0.24,7.88,244,431,9.6,7.3,0.53,0.004,,0.733,32.1,208
Nolensville Park,MC,35.95395,-86.6697,184,MC1,24.4,750.3,618,0.3,8.23,240.6,427.6,1.11,9.7,0.36,0.012,,0.495,78.4,221
Nolensville Park,MC,35.95395,-86.6697,184,MC1,24.2,745.7,625,0.3,8.22,330.5,517.5,1.36,9.9,0.379,,,0.39,73.2,224
Culbertson Road,MC,36.00918,-86.7008,166,MC2,25.4,747.4,551,0.24,7.98,278,465,4.35,8.7,,0.019,,0.908,37.9,214
Ezell Park Road,MC,36.09059,-86.68635,153,MC3,27.2,748.9,429.1,0.2,8.04,258.9,445.9,5.66,6,0.719,0.012,,0.614,54.7,139
