datetime,Temp_C,SpC,pH,DO
2021/02/01 00:00:00,8.5,509,8,10.9
2021/02/01 00:30:00,8.4,507,8,10.9
2021/02/01 01:00:00,8.4,515,8,10.9
2021/02/01 01:30:00,8.3,515,8,10.9
2021/02/01 02:00:00,8.3,513,8,10.9
2021/02/01 02:30:00,8.2,516,8,10.9
2021/02/01 03:00:00,8.2,517,8,10.9
2021/02/01 03:30:00,8.1,516,8,10.9
2021/02/01 04:00:00,8,517,7.9,10.9
2021/02/01 04:30:00,8,521,7.9,10.9
2021/02/01 05:00:00,7.9,518,7.9,10.9
2021/02/01 05:30:00,7.8,522,7.9,11
2021/02/01 06:00:00,7.8,521,7.9,11
2021/02/01 06:30:00,7.7,520,8,11
2021/02/01 07:00:00,7.7,517,8,11
2021/02/01 07:30:00,7.6,NA,7.9,11
2021/02/01 08:00:00,7.5,522,8,11
2021/02/01 08:30:00,7.5,521,8,11.1
2021/02/01 09:00:00,7.4,522,8,11.1
2021/02/01 09:30:00,7.4,523,8,11.1
2021/02/01 10:00:00,7.4,523,8,11.2
2021/02/01 10:30:00,7.3,NA,8,11.3
2021/02/01 11:00:00,7.3,523,8,11.4
2021/02/01 11:30:00,7.3,NA,8,11.5
2021/02/01 12:00:00,7.3,NA,8,11.7
2021/02/01 12:30:00,7.4,522,8,11.9
2021/02/01 13:00:00,7.4,521,8,12.1
2021/02/01 13:30:00,7.4,520,8.1,12.3
2021/02/01 14:00:00,7.4,521,8.1,12.6
2021/02/01 14:30:00,7.5,521,8.1,12.9
2021/02/01 15:00:00,7.6,522,8.2,13.2
2021/02/01 15:30:00,7.6,520,8.2,13.4
2021/02/01 16:00:00,7.6,521,8.2,13.5
2021/02/01 16:30:00,7.6,522,8.2,13.7
2021/02/01 17:00:00,7.7,NA,8.2,13.8
2021/02/01 17:30:00,7.7,520,8.3,13.9
2021/02/01 18:00:00,7.7,520,8.3,13.8
2021/02/01 18:30:00,7.6,521,8.3,13.7
2021/02/01 19:00:00,7.6,NA,8.3,13.6
2021/02/01 19:30:00,7.5,521,8.3,13.4
2021/02/01 20:00:00,7.4,522,8.2,13.2
2021/02/01 20:30:00,7.4,525,8.2,12.9
2021/02/01 21:00:00,7.3,521,8.2,12.7
2021/02/01 21:30:00,7.2,518,8.2,12.6
2021/02/01 22:00:00,7.2,520,8.2,12.4
2021/02/01 22:30:00,7,521,8.2,12.3
2021/02/01 23:00:00,7,NA,8.2,12.1
2021/02/01 23:30:00,6.8,519,8.1,12
2021/02/02 00:00:00,6.7,519,8.1,11.9
2021/02/02 00:30:00,6.6,524,8.1,11.8
2021/02/02 01:00:00,6.5,528,8.1,11.8
2021/02/02 01:30:00,6.5,526,8.1,11.7
2021/02/02 02:00:00,6.4,520,8.1,11.7
2021/02/02 02:30:00,6.3,522,8.1,11.7
2021/02/02 03:00:00,6.2,528,8.1,11.6
2021/02/02 03:30:00,6.2,531,8,11.6
2021/02/02 04:00:00,6.1,526,8,11.6
2021/02/02 04:30:00,6,527,8,11.7
2021/02/02 05:00:00,6,527,8,11.7
2021/02/02 05:30:00,5.9,526,8,11.7
2021/02/02 06:00:00,5.8,528,8,11.7
2021/02/02 06:30:00,5.7,534,8,11.7
2021/02/02 07:00:00,5.6,535,8,11.7
2021/02/02 07:30:00,5.6,535,8,11.7
2021/02/02 08:00:00,5.5,536,8,11.7
2021/02/02 08:30:00,5.4,536,8,11.8
2021/02/02 09:00:00,5.4,537,8,11.8
2021/02/02 09:30:00,5.4,536,8,11.9
2021/02/02 10:00:00,5.4,530,8,12
2021/02/02 10:30:00,5.4,531,8,12.3
2021/02/02 11:00:00,5.4,529,8,12.5
2021/02/02 11:30:00,5.5,528,8.1,12.8
2021/02/02 12:00:00,5.6,NA,8.1,13
2021/02/02 12:30:00,5.7,531,8.1,13.2
2021/02/02 13:00:00,5.8,530,8.2,13.6
2021/02/02 13:30:00,6,526,8.2,13.8
2021/02/02 14:00:00,6.2,526,8.2,14.1
2021/02/02 14:30:00,6.4,NA,8.2,14.4
2021/02/02 15:00:00,6.7,524,8.3,14.6
2021/02/02 15:30:00,7,521,8.3,14.7
2021/02/02 16:00:00,7.1,519,8.3,14.7
2021/02/02 16:30:00,7.2,518,8.3,14.8
2021/02/02 17:00:00,7.2,517,8.3,14.7
2021/02/02 17:30:00,7.2,516,8.3,14.6
2021/02/02 18:00:00,7.2,517,8.4,14.5
2021/02/02 18:30:00,7.2,521,8.4,14.3
2021/02/02 19:00:00,7.1,520,8.3,14.1
2021/02/02 19:30:00,7,523,8.3,14
2021/02/02 20:00:00,7,523,8.3,13.7
2021/02/02 20:30:00,6.8,524,8.3,13.4
2021/02/02 21:00:00,6.8,NA,8.3,13.3
2021/02/02 21:30:00,6.7,528,8.3,13
2021/02/02 22:00:00,6.6,NA,8.3,12.8
2021/02/02 22:30:00,6.6,529,8.3,12.7
2021/02/02 23:00:00,6.5,527,8.2,12.6
2021/02/02 23:30:00,6.4,530,8.2,12.4
2021/02/03 00:00:00,6.3,531,8.2,12.3
2021/02/03 00:30:00,6.2,531,8.2,12.2
2021/02/03 01:00:00,6.2,533,8.2,12
2021/02/03 01:30:00,6.1,NA,8.2,12
2021/02/03 02:00:00,6.1,533,8.1,11.9
2021/02/03 02:30:00,6,533,8.1,11.8
2021/02/03 03:00:00,6,533,8.1,11.8
2021/02/03 03:30:00,5.9,536,8.1,11.7
2021/02/03 04:00:00,5.8,NA,8.1,11.7
2021/02/03 04:30:00,5.8,539,8.1,11.7
2021/02/03 05:00:00,5.7,537,8.1,11.7
2021/02/03 05:30:00,5.7,538,8.1,11.7
2021/02/03 06:00:00,5.6,538,8.1,11.7
2021/02/03 06:30:00,5.5,NA,8,11.7
2021/02/03 07:00:00,5.4,538,8,11.7
2021/02/03 07:30:00,5.3,540,8,11.7
2021/02/03 08:00:00,5.2,540,8,11.7
2021/02/03 08:30:00,5.1,540,8,11.8
2021/02/03 09:00:00,5,541,8,11.9
2021/02/03 09:30:00,5,541,8,12
2021/02/03 10:00:00,5,537,8,12.1
2021/02/03 10:30:00,5,536,8,12.2
2021/02/03 11:00:00,5,536,8,12.4
2021/02/03 11:30:00,5,542,8.1,12.6
2021/02/03 12:00:00,5.1,540,8.1,12.8
2021/02/03 12:30:00,5.2,539,8.1,13.2
2021/02/03 13:00:00,5.3,536,8.1,13.3
2021/02/03 13:30:00,5.5,542,8.2,13.6
2021/02/03 14:00:00,5.7,544,8.2,14
2021/02/03 14:30:00,5.9,530,8.2,14.3
2021/02/03 15:00:00,6.2,532,8.2,14.7
2021/02/03 15:30:00,6.5,531,8.3,14.9
2021/02/03 16:00:00,6.8,537,8.3,15
2021/02/03 16:30:00,7,535,8.3,15.1
2021/02/03 17:00:00,7.1,533,8.4,15.2
2021/02/03 17:30:00,7.2,527,8.4,15.1
2021/02/03 18:00:00,7.3,526,8.4,15
2021/02/03 18:30:00,7.3,529,8.4,14.9
2021/02/03 19:00:00,7.3,524,8.4,14.7
2021/02/03 19:30:00,7.2,523,8.4,14.5
2021/02/03 20:00:00,7.2,531,8.4,14.2
2021/02/03 20:30:00,7.1,530,8.4,14
2021/02/03 21:00:00,7,NA,8.4,13.8
2021/02/03 21:30:00,6.9,529,8.3,13.4
2021/02/03 22:00:00,6.8,NA,8.3,13.2
2021/02/03 22:30:00,6.7,530,8.3,12.9
2021/02/03 23:00:00,6.6,531,8.3,12.7
2021/02/03 23:30:00,6.5,531,8.3,12.5
2021/02/04 00:00:00,6.4,533,8.2,12.4
2021/02/04 00:30:00,6.3,534,8.2,12.2
2021/02/04 01:00:00,6.2,539,8.2,12.1
2021/02/04 01:30:00,6.1,537,8.2,11.9
2021/02/04 02:00:00,6,538,8.1,11.8
2021/02/04 02:30:00,5.9,538,8.1,11.8
2021/02/04 03:00:00,5.9,539,8.1,11.8
2021/02/04 03:30:00,5.8,536,8.1,11.7
2021/02/04 04:00:00,5.8,538,8.1,11.7
2021/02/04 04:30:00,5.7,539,8.1,11.7
2021/02/04 05:00:00,5.7,539,8.1,11.7
2021/02/04 05:30:00,5.6,543,8.1,11.6
2021/02/04 06:00:00,5.6,541,8.1,11.6
2021/02/04 06:30:00,5.6,546,8.1,11.6
2021/02/04 07:00:00,5.5,548,8.1,11.6
2021/02/04 07:30:00,5.4,540,8.1,11.6
2021/02/04 08:00:00,5.4,539,8.1,11.6
2021/02/04 08:30:00,5.4,545,8,11.7
2021/02/04 09:00:00,5.4,547,8,11.7
2021/02/04 09:30:00,5.4,548,8,11.7
2021/02/04 10:00:00,5.3,549,8,11.8
2021/02/04 10:30:00,5.3,541,8,11.8
2021/02/04 11:00:00,5.3,539,8,11.9
2021/02/04 11:30:00,5.3,540,8,12.1
2021/02/04 12:00:00,5.3,539,8,12.4
2021/02/04 12:30:00,5.3,538,8.1,12.6
2021/02/04 13:00:00,5.4,544,8.1,12.8
2021/02/04 13:30:00,5.5,542,8.1,13.1
2021/02/04 14:00:00,5.5,542,8.1,13.3
2021/02/04 14:30:00,5.6,544,8.1,13.4
2021/02/04 15:00:00,5.7,543,8.2,13.7
