Date,Time,I,tempC,DO.meas,atmo.pressure,salinity
1/26/2022,12:05:51,650.34752,4.786,13.35,0.985816,0.2
1/26/2022,12:20:51,778.5984,5.023,13.25,0.985816,0.2
1/26/2022,12:35:51,754.35008,5.206,13.24,0.985816,0.2
1/26/2022,12:50:51,718.73536,5.376,13.2,0.985816,0.2
1/26/2022,13:05:51,683.49952,5.499,13.17,0.985816,0.2
1/26/2022,13:20:51,650.34752,5.599,13.14,0.985816,0.2
1/26/2022,13:35:51,517.73952,5.635,13.13,0.985816,0.2
1/26/2022,13:50:51,583.66464,5.687,13.08,0.985816,0.2
1/26/2022,14:05:51,537.0624,5.611,13.06,0.985816,0.2
1/26/2022,14:20:51,399.52896,5.521,13.03,0.985816,0.2
1/26/2022,14:35:51,260.9536,5.458,13.01,0.985816,0.2
1/26/2022,14:50:51,77.57568,5.364,12.9,0.985816,0.2
1/26/2022,15:05:51,62.16,5.26,12.9,0.985816,0.2
1/26/2022,15:20:51,56.19264,5.159,12.88,0.985816,0.2
1/26/2022,15:35:51,51.10144,5.04,12.84,0.985816,0.2
1/26/2022,15:50:51,45.69056,4.921,12.81,0.985816,0.2
1/26/2022,16:05:51,40.06656,4.78,12.81,0.985816,0.2
1/26/2022,16:20:51,33.59008,4.637,12.76,0.985816,0.2
1/26/2022,16:35:51,25.43232,4.492,12.77,0.985816,0.2
1/26/2022,16:50:51,15.14928,4.361,12.76,0.985816,0.2
1/26/2022,17:05:51,5.49228,4.217,12.73,0.985816,0.2
1/26/2022,17:20:51,0.65046,4.067,12.7,0.985816,0.2
1/26/2022,17:35:51,0.019795,3.928,12.67,0.985816,0.2
1/26/2022,17:50:51,0,3.805,12.68,0.985816,0.2
1/26/2022,18:05:51,0,3.696,12.68,0.985816,0.2
1/26/2022,18:20:51,0,3.576,12.7,0.985816,0.2
1/26/2022,18:35:51,0,3.487,12.71,0.985816,0.2
1/26/2022,18:50:51,0,3.401,12.72,0.985816,0.2
1/26/2022,19:05:51,0,3.314,12.74,0.985816,0.2
1/26/2022,19:20:51,0,3.236,12.76,0.985816,0.2
1/26/2022,19:35:51,0,3.174,12.78,0.985816,0.2
1/26/2022,19:50:51,0,3.122,12.79,0.985816,0.2
1/26/2022,20:05:51,0.007955,3.05,12.8,0.985816,0.2
1/26/2022,20:20:51,0,2.997,12.82,0.985816,0.2
1/26/2022,20:35:51,0,2.948,12.8,0.985816,0.2
1/26/2022,20:50:51,0,2.891,12.85,0.985816,0.2
1/26/2022,21:05:51,0,2.847,12.87,0.985816,0.2
1/26/2022,21:20:51,0,2.81,12.89,0.985816,0.2
1/26/2022,21:35:51,0,2.769,12.91,0.985816,0.2
1/26/2022,21:50:51,0,2.727,12.92,0.985816,0.2
