Date,Time,I,  tempC,DO.meas,atmo.pressure,salinity
2/7/2023,0:00:00,0,4.76,13.068575,0.99777,0.12
2/7/2023,0:05:00,0,4.8,13.14651,0.99825,0.12
2/7/2023,0:10:00,0,4.76,13.147509,0.99746,0.12
2/7/2023,0:15:00,0,4.84,13.167488,0.99714,0.12
2/7/2023,0:20:00,0,4.76,13.149508,0.99701,0.12
2/7/2023,0:25:00,0,4.63,13.188472,0.99714,0.12
2/7/2023,0:30:00,0,4.72,13.170484,0.99698,0.12
2/7/2023,0:35:00,0,4.8,13.161487,0.99717,0.12
2/7/2023,0:40:00,0,4.76,13.152495,0.99748,0.12
2/7/2023,0:45:00,0,4.8,13.151496,0.99717,0.12
2/7/2023,0:50:00,0,4.76,13.139505,0.99685,0.12
2/7/2023,0:55:00,0,4.84,13.153491,0.99654,0.12
2/7/2023,1:00:00,0,4.76,13.150494,0.99672,0.12
2/7/2023,1:05:00,0,4.76,13.1475,0.99656,0.12
2/7/2023,1:10:00,0,4.8,13.159492,0.99641,0.12
2/7/2023,1:15:00,0,4.84,13.141513,0.99656,0.12
2/7/2023,1:20:00,0,4.89,13.147517,0.99643,0.12
2/7/2023,1:25:00,0,4.76,13.147521,0.99643,0.12
2/7/2023,1:30:00,0,4.76,13.180496,0.99691,0.12
2/7/2023,1:35:00,0,4.76,13.172502,0.99675,0.12
2/7/2023,1:40:00,0,4.76,13.184492,0.99722,0.12
2/7/2023,1:45:00,0,4.72,13.164509,0.99767,0.12
2/7/2023,1:50:00,0,4.72,13.15052,0.99859,0.12
2/7/2023,1:55:00,0,4.72,13.13953,0.99853,0.12
2/7/2023,2:00:00,0,4.67,13.145527,0.99838,0.12
2/7/2023,2:05:00,0,4.67,13.137533,0.99774,0.12
2/7/2023,2:10:00,0,4.76,13.147522,0.99727,0.12
2/7/2023,2:15:00,0,4.76,13.11655,0.99695,0.12
2/7/2023,2:20:00,0,4.63,13.129544,0.99711,0.12
2/7/2023,2:25:00,0,4.8,13.125549,0.99743,0.12
2/7/2023,2:30:00,0,4.89,13.115556,0.99743,0.12
2/7/2023,2:35:00,0,4.89,13.138535,0.99759,0.12
2/7/2023,2:40:00,0,4.84,13.114554,0.99759,0.12
2/7/2023,2:45:00,0,4.93,13.127543,0.99759,0.12
2/7/2023,2:50:00,0,4.93,13.12055,0.99759,0.12
2/7/2023,2:55:00,0,4.8,13.101563,0.99746,0.12
2/7/2023,3:00:00,0,4.76,13.120546,0.9979,0.12
2/7/2023,3:05:00,0,4.76,13.12554,0.99822,0.12
2/7/2023,3:10:00,0,4.84,13.118548,0.9979,0.12
2/7/2023,3:15:00,0,4.84,13.108558,0.99806,0.12
2/7/2023,3:20:00,0,4.89,13.118549,0.9979,0.12
2/7/2023,3:25:00,0,4.84,13.116552,0.99793,0.12
2/7/2023,3:30:00,0,4.89,13.116552,0.99777,0.12
2/7/2023,3:35:00,0,4.89,13.132542,0.99809,0.12
2/7/2023,3:40:00,0,4.84,13.117554,0.99793,0.12
2/7/2023,3:45:00,0,4.8,13.108561,0.99812,0.12
2/7/2023,3:50:00,0,4.89,13.078586,0.99859,0.12
2/7/2023,3:55:00,0,4.97,13.05061,0.99812,0.12
2/7/2023,4:00:00,0,4.93,13.04861,0.99827,0.12
2/7/2023,4:05:00,0,4.97,13.038618,0.99812,0.12
2/7/2023,4:10:00,0,4.89,13.026626,0.99812,0.12
2/7/2023,4:15:00,0,4.93,13.041614,0.99843,0.12
2/7/2023,4:20:00,0,4.84,13.040613,0.99843,0.12
2/7/2023,4:25:00,0,4.84,13.018631,0.99859,0.12
2/7/2023,4:30:00,0,4.93,13.008635,0.99875,0.12
2/7/2023,4:35:00,0,4.84,13.000642,0.9984,0.12
2/7/2023,4:40:00,0,4.84,13.001639,0.99875,0.12
2/7/2023,4:45:00,0,4.93,12.996646,0.99859,0.12
2/7/2023,4:50:00,0,4.89,13.019627,0.99906,0.12
2/7/2023,4:55:00,0,4.89,13.004639,0.99891,0.12
2/7/2023,5:00:00,0,4.93,12.997645,0.99906,0.12
2/7/2023,5:05:00,0,4.97,12.982657,0.99919,0.12
2/7/2023,5:10:00,0,5.02,12.971664,0.99951,0.12
2/7/2023,5:15:00,0,4.97,12.983648,0.99964,0.12
2/7/2023,5:20:00,0,5.02,12.973653,0.99932,0.12
2/7/2023,5:25:00,0,4.97,12.981648,0.99904,0.12
2/7/2023,5:30:00,0,4.97,12.970657,0.99919,0.12
2/7/2023,5:35:00,0,5.02,12.939686,0.99904,0.12
2/7/2023,5:40:00,0,4.93,12.981647,0.99906,0.12
2/7/2023,5:45:00,0,4.89,12.928693,0.99906,0.12
2/7/2023,5:50:00,0,4.89,12.923697,0.99891,0.12
2/7/2023,5:55:00,0,4.84,12.915709,0.99938,0.12
2/7/2023,6:00:00,0,4.93,12.962669,0.99922,0.12
2/7/2023,6:05:00,0,4.89,12.94868,0.99922,0.12
2/7/2023,6:10:00,0.00098942,4.84,12.931693,0.9997,0.12
2/7/2023,6:15:00,0.011055,4.84,12.916707,0.99985,0.12
2/7/2023,6:20:00,0.048024,4.76,12.907713,0.99983,0.12
2/7/2023,6:25:00,0.16424,4.76,12.913707,0.99983,0.12
2/7/2023,6:30:00,0.53375,4.84,12.909711,0.99983,0.12
2/7/2023,6:35:00,1.4195,4.8,12.903715,1.00014,0.12
2/7/2023,6:40:00,2.9446,4.76,12.907714,0.99998,0.12
2/7/2023,6:45:00,4.8265,4.84,12.900717,0.99998,0.12
2/7/2023,6:50:00,8.9797,4.76,12.899717,1.0003,0.12
2/7/2023,6:55:00,13.407,4.8,12.872738,1.0003,0.12
2/7/2023,7:00:00,20.1,4.84,12.878734,0.99998,0.12
2/7/2023,7:05:00,25.805,4.89,12.859747,0.99983,0.12
2/7/2023,7:10:00,32.25,4.89,12.84676,0.99967,0.12
2/7/2023,7:15:00,32.493,4.93,12.856751,0.99954,0.12
2/7/2023,7:20:00,47.982,5.02,12.853754,0.99954,0.12
2/7/2023,7:25:00,77.431,5.1,12.86075,0.99954,0.12
2/7/2023,7:30:00,85.268,5.32,12.839769,0.99957,0.12
2/7/2023,7:35:00,88.174,5.4,12.845765,0.99944,0.12
2/7/2023,7:40:00,92.764,5.49,12.825782,0.99946,0.12
2/7/2023,7:45:00,78.015,5.45,12.823785,0.99965,0.12
2/7/2023,7:50:00,73.148,5.57,12.821785,0.99952,0.12
2/7/2023,7:55:00,71.23,5.53,12.82578,0.99955,0.12
2/7/2023,8:00:00,71.483,5.57,12.84776,0.99955,0.12
2/7/2023,8:05:00,83.108,5.57,12.809793,0.99974,0.12
2/7/2023,8:10:00,86.433,5.66,12.823782,0.99976,0.12
2/7/2023,8:15:00,98.855,5.66,12.845763,0.99979,0.12
2/7/2023,8:20:00,112.03,5.75,12.864748,0.99979,0.12
2/7/2023,8:25:00,135.41,5.96,12.853758,0.99985,0.12
2/7/2023,8:30:00,200.84,6.17,12.845766,0.99988,0.12
2/7/2023,8:35:00,342.58,7.16,12.861757,0.99993,0.12
2/7/2023,8:40:00,308.35,7.63,12.897728,1.00018,0.12
2/7/2023,8:45:00,382.94,7.63,12.921715,1.0001,0.12
2/7/2023,8:50:00,187.72,7.42,12.907726,1.00035,0.12
2/7/2023,8:55:00,557.63,7.89,12.899734,1.00009,0.12
2/7/2023,9:00:00,650.18,8.96,12.894743,1.00001,0.12
2/7/2023,9:05:00,693.62,9.99,12.883756,1.00031,0.12
2/7/2023,9:10:00,737.46,9.91,12.895754,1.00014,0.12
2/7/2023,9:15:00,689.87,9.61,12.941717,1.00006,0.12
2/7/2023,9:20:00,732.33,9.65,12.944723,1.00036,0.12
2/7/2023,9:25:00,637.79,9.26,12.884776,1.00026,0.12
2/7/2023,9:30:00,323.34,9.05,12.826833,1.00013,0.12
2/7/2023,9:35:00,439.85,9.52,12.820849,1.00056,0.12
2/7/2023,9:40:00,729.2,9.61,12.930763,1.00049,0.12
2/7/2023,9:45:00,923.98,9.99,12.910788,1.00052,0.12
2/7/2023,9:50:00,1132.7,9.82,12.838853,1.00044,0.12
2/7/2023,9:55:00,611.58,9.91,12.818879,1.00044,0.12
2/7/2023,10:00:00,510.94,9.61,12.860851,1.0004,0.12
2/7/2023,10:05:00,906.62,10.42,12.839867,1.00028,0.12
2/7/2023,10:10:00,805.94,10.21,12.858867,1.00018,0.12
2/7/2023,10:15:00,921,9.86,12.882852,1.00018,0.12
2/7/2023,10:20:00,958.68,11.41,12.883864,1.00024,0.12
2/7/2023,10:25:00,628,10.42,12.995773,1.00014,0.12
2/7/2023,10:30:00,1124.7,10.72,12.997777,1.00002,0.12
2/7/2023,10:35:00,895.2,10.25,13.086704,0.99992,0.12
2/7/2023,10:40:00,754.26,10.89,13.056743,0.99992,0.12
2/7/2023,10:45:00,1157.8,11.49,12.988802,0.99971,0.12
2/7/2023,10:50:00,1228.2,12.01,13.193647,0.99944,0.12
2/7/2023,10:55:00,728.01,11.24,13.083742,0.99968,0.12
2/7/2023,11:00:00,1305,10.89,13.273598,0.99916,0.12
2/7/2023,11:05:00,1011.5,11.32,13.281602,0.9994,0.12
2/7/2023,11:10:00,1014.7,11.45,13.276618,0.99968,0.12
2/7/2023,11:15:00,1191.5,12.7,13.222675,0.99939,0.12
2/7/2023,11:20:00,1389.9,14.63,13.211643,0.99892,0.12
2/7/2023,11:25:00,1407.6,13.3,13.394495,0.99876,0.12
2/7/2023,11:30:00,546.46,11.28,13.574354,0.99908,0.12
2/7/2023,11:35:00,1073.3,10.68,13.648297,0.99929,0.12
2/7/2023,11:40:00,305.13,9.78,13.570364,0.99921,0.12
2/7/2023,11:45:00,303.78,9.78,13.570377,0.99917,0.12
2/7/2023,11:50:00,375.53,9.99,13.448489,0.99889,0.12
