7450-786242
OS REV: 1.05 Sensor Cal: 1590011347
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1646342700,+3.46,+18.447, +9.774,+0.964
1646343300,+3.47,+14.447,+11.213,+0.974
1646343900,+3.47,+14.048,+11.358,+0.979
1646344500,+3.47,+13.953,+11.409,+0.981
1646345100,+3.47,+13.892,+11.407,+0.981
1646345700,+3.47,+13.909,+11.391,+0.982
1646346300,+3.47,+13.900,+11.388,+0.981
1646346900,+3.47,+13.900,+11.350,+0.982
1646347500,+3.47,+13.918,+11.338,+0.982
1646348100,+3.47,+13.961,+11.289,+0.981
1646348700,+3.47,+13.953,+11.322,+0.981
1646349300,+3.47,+13.970,+11.319,+0.981
1646349900,+3.47,+13.996,+11.274,+0.981
1646350500,+3.47,+14.013,+11.212,+0.981
1646351100,+3.47,+14.039,+11.149,+0.981
1646351700,+3.47,+14.048,+11.087,+0.981
1646352300,+3.47,+14.065,+11.025,+0.981
1646352900,+3.47,+14.065,+10.983,+0.981
1646353500,+3.47,+14.100,+10.907,+0.981
1646354100,+3.47,+14.117,+10.844,+0.981
1646354700,+3.47,+14.135,+10.826,+0.981
1646355300,+3.47,+14.143,+10.749,+0.981
1646355900,+3.47,+14.152,+10.697,+0.980
1646356500,+3.47,+14.161,+10.674,+0.981
1646357100,+3.47,+14.178,+10.644,+0.980
1646357700,+3.47,+14.161,+10.641,+0.980
1646358300,+3.47,+14.187,+10.590,+0.980
1646358900,+3.47,+14.196,+10.579,+0.981
1646359500,+3.47,+14.187,+10.531,+0.981
1646360100,+3.47,+14.169,+10.492,+0.980
1646360700,+3.47,+14.169,+10.439,+0.980
1646361300,+3.47,+14.161,+10.431,+0.981
1646361900,+3.47,+14.143,+10.394,+0.981
1646362500,+3.47,+14.109,+10.354,+0.981
1646363100,+3.47,+14.109,+10.305,+0.980
1646363700,+3.47,+14.074,+10.283,+0.981
1646364300,+3.47,+14.065,+10.218,+0.980
1646364900,+3.47,+14.039,+10.187,+0.980
1646365500,+3.47,+14.031,+10.141,+0.980
1646366100,+3.47,+14.013,+10.109,+0.980
1646366700,+3.47,+13.979,+10.063,+0.980
1646367300,+3.47,+13.970,+10.009,+0.980
1646367900,+3.47,+13.918, +9.993,+0.979
1646368500,+3.47,+13.918, +9.949,+0.980
1646369100,+3.47,+13.883, +9.903,+0.980
1646369700,+3.47,+13.848, +9.887,+0.980
1646370300,+3.47,+13.813, +9.851,+0.981
1646370900,+3.47,+13.787, +9.808,+0.980
1646371500,+3.47,+13.770, +9.764,+0.980
1646372100,+3.47,+13.735, +9.738,+0.980
1646372700,+3.47,+13.700, +9.705,+0.980
1646373300,+3.47,+13.665, +9.683,+0.981
1646373900,+3.47,+13.648, +9.636,+0.980
