Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1646429700,+3.47,+14.065,+11.762,+0.980
1646430300,+3.47,+14.057,+11.760,+0.980
1646430900,+3.47,+14.083,+11.718,+0.979
1646431500,+3.47,+14.083,+11.724,+0.979
1646432100,+3.47,+14.126,+11.701,+0.979
1646432700,+3.47,+14.109,+11.705,+0.980
1646433300,+3.47,+14.117,+11.628,+0.979
1646433900,+3.47,+14.143,+11.567,+0.979
1646434500,+3.47,+14.135,+11.542,+0.980
1646435100,+3.47,+14.152,+11.556,+0.980
1646435700,+3.47,+14.161,+11.517,+0.980
1646436300,+3.47,+14.196,+11.450,+0.980
1646436900,+3.47,+14.213,+11.393,+0.979
1646437500,+3.47,+14.239,+11.342,+0.980
1646438100,+3.47,+14.265,+11.297,+0.980
1646438700,+3.47,+14.291,+11.223,+0.979
1646439300,+3.47,+14.317,+11.142,+0.979
1646439900,+3.47,+14.343,+11.102,+0.979
1646440500,+3.47,+14.377,+11.022,+0.979
1646441100,+3.47,+14.421,+10.977,+0.979
1646441700,+3.47,+14.438,+10.958,+0.979
1646442300,+3.47,+14.455,+10.919,+0.979
1646442900,+3.47,+14.472,+10.886,+0.979
1646443500,+3.47,+14.524,+10.872,+0.979
1646444100,+3.47,+14.559,+10.806,+0.979
1646444700,+3.47,+14.585,+10.792,+0.979
1646445300,+3.47,+14.611,+10.750,+0.979
1646445900,+3.47,+14.637,+10.725,+0.979
1646446500,+3.47,+14.671,+10.688,+0.979
1646447100,+3.47,+14.662,+10.664,+0.979
1646447700,+3.47,+14.706,+10.622,+0.979
1646448300,+3.47,+14.697,+10.588,+0.979
1646448900,+3.47,+14.697,+10.557,+0.980
1646449500,+3.47,+14.723,+10.514,+0.979
1646450100,+3.47,+14.731,+10.466,+0.980
1646450700,+3.47,+14.723,+10.417,+0.979
1646451300,+3.47,+14.731,+10.374,+0.979
1646451900,+3.47,+14.731,+10.323,+0.979
1646452500,+3.47,+14.723,+10.287,+0.979
1646453100,+3.47,+14.697,+10.259,+0.979
1646453700,+3.47,+14.714,+10.193,+0.979
1646454300,+3.47,+14.706,+10.150,+0.979
1646454900,+3.47,+14.680,+10.106,+0.979
1646455500,+3.47,+14.654,+10.062,+0.979
1646456100,+3.47,+14.645,+10.021,+0.979
1646456700,+3.47,+14.637, +9.974,+0.978
1646457300,+3.47,+14.611, +9.930,+0.979
1646457900,+3.47,+14.576, +9.899,+0.979
1646458500,+3.47,+14.576, +9.848,+0.979
1646459100,+3.47,+14.550, +9.809,+0.979
1646459700,+3.47,+14.533, +9.762,+0.979
1646460300,+3.47,+14.516, +9.713,+0.979
1646460900,+3.47,+14.516, +9.663,+0.979
1646461500,+3.47,+14.464, +9.630,+0.978
1646462100,+3.47,+14.455, +9.587,+0.978
1646462700,+3.47,+14.421, +9.554,+0.979
1646463300,+3.47,+14.403, +9.519,+0.979
1646463900,+3.47,+14.377, +9.464,+0.978
1646464500,+3.47,+14.343, +9.432,+0.979
1646465100,+3.47,+14.325, +9.391,+0.979
1646465700,+3.47,+14.317, +9.351,+0.979
1646466300,+3.47,+14.299, +9.315,+0.979
1646466900,+3.47,+14.265, +9.276,+0.978
1646467500,+3.47,+14.247, +9.243,+0.979
1646468100,+3.47,+14.230, +9.212,+0.979
1646468700,+3.47,+14.221, +9.164,+0.978
1646469300,+3.47,+14.187, +9.130,+0.978
1646469900,+3.47,+14.161, +9.126,+0.979
1646470500,+3.47,+14.143, +9.080,+0.979
1646471100,+3.47,+14.117, +9.049,+0.979
1646471700,+3.47,+14.091, +9.024,+0.979
1646472300,+3.47,+14.065, +8.995,+0.979
1646472900,+3.47,+14.013, +8.969,+0.979
1646473500,+3.47,+13.987, +8.947,+0.979
1646474100,+3.47,+13.961, +8.932,+0.979
1646474700,+3.47,+13.926, +8.917,+0.979
1646475300,+3.47,+13.918, +8.891,+0.979
1646475900,+3.47,+13.866, +8.873,+0.979
1646476500,+3.47,+13.857, +8.864,+0.979
1646477100,+3.47,+13.822, +8.835,+0.978
1646477700,+3.47,+13.805, +8.833,+0.979
1646478300,+3.47,+13.796, +8.808,+0.979
1646478900,+3.47,+13.770, +8.804,+0.979
1646479500,+3.47,+13.744, +8.799,+0.979
