Date,Time,I,tempC,DO.meas,atmo.pressure,salinity
3/3/2022,15:39:41,352.26368,15.01,11.195782,0.99036,0.25
3/3/2022,15:49:41,302.81984,14.88,11.340503,0.99036,0.25
3/3/2022,15:59:41,224.4864,14.75,11.391411,0.99036,0.25
3/3/2022,16:09:41,141.22752,14.63,11.389406,0.99036,0.25
3/3/2022,16:19:41,168.22272,14.54,11.373433,0.99036,0.25
3/3/2022,16:29:41,130.66624,14.45,11.370436,0.99036,0.25
3/3/2022,16:39:41,78.40448,14.41,11.332495,0.99036,0.25
3/3/2022,16:49:41,52.97216,14.28,11.320516,0.99036,0.25
3/3/2022,16:59:41,43.84352,14.24,11.271597,0.99036,0.25
3/3/2022,17:09:41,30.2512,14.24,11.304545,0.99036,0.25
3/3/2022,17:19:41,21.12256,14.2,11.301552,0.99036,0.25
3/3/2022,17:29:41,12.74576,14.24,11.256625,0.99036,0.25
3/3/2022,17:39:41,5.53964,14.2,11.194723,0.99036,0.25
3/3/2022,17:49:41,1.8315,14.28,11.131824,0.99036,0.25
3/3/2022,17:59:41,0.228475,14.24,11.069921,0.99036,0.25
3/3/2022,18:09:41,0.01184,14.28,11.008019,0.99036,0.25
3/3/2022,18:19:41,0,14.24,10.966083,0.99036,0.25
3/3/2022,18:29:41,0,14.28,10.890205,0.99036,0.25
3/3/2022,18:39:41,0,14.28,10.827305,0.99036,0.25
3/3/2022,18:49:41,0,14.33,10.809335,0.99036,0.25
3/3/2022,18:59:41,0,14.33,10.732454,0.99036,0.25
3/3/2022,19:09:41,0,14.33,10.680536,0.99036,0.25
3/3/2022,19:19:41,0,14.33,10.657572,0.99036,0.25
3/3/2022,19:29:41,0,14.37,10.627621,0.99036,0.25
3/3/2022,19:39:41,0,14.37,10.624623,0.99036,0.25
3/3/2022,19:49:41,0,14.33,10.573705,0.99036,0.25
3/3/2022,19:59:41,0,14.33,10.562723,0.99036,0.25
3/3/2022,20:09:41,0,14.33,10.514796,0.99036,0.25
3/3/2022,20:19:41,0,14.33,10.475853,0.99036,0.25
3/3/2022,20:29:41,0,14.33,10.422935,0.99036,0.25
3/3/2022,20:39:41,0,14.33,10.414946,0.99036,0.25
3/3/2022,20:49:41,0,14.28,10.378001,0.99036,0.25
3/3/2022,20:59:41,0,14.33,10.338058,0.99036,0.25
3/3/2022,21:09:41,0,14.24,10.289133,0.99036,0.25
3/3/2022,21:19:41,0,14.24,10.267163,0.99036,0.25
3/3/2022,21:29:41,0,14.2,10.202262,0.99036,0.25
3/3/2022,21:39:41,0,14.24,10.171306,0.99036,0.25
3/3/2022,21:49:41,0,14.2,10.125376,0.99036,0.25
3/3/2022,21:59:41,0,14.15,10.093423,0.99036,0.25
3/3/2022,22:09:41,0,14.11,10.04749,0.99036,0.25
3/3/2022,22:19:41,0,14.11,9.993572,0.99036,0.25
3/3/2022,22:29:41,0,14.11,9.97759,0.99036,0.25
3/3/2022,22:39:41,0,14.07,9.933658,0.99036,0.25
3/3/2022,22:49:41,0,14.03,9.887724,0.99036,0.25
3/3/2022,22:59:41,0,14.03,9.871745,0.99036,0.25
3/3/2022,23:09:41,0,13.98,9.835796,0.99036,0.25
3/3/2022,23:19:41,0,13.98,9.792859,0.99036,0.25
3/3/2022,23:29:41,0,13.94,9.748925,0.99036,0.25
3/3/2022,23:39:41,0,13.9,9.722961,0.99036,0.25
3/3/2022,23:49:41,0,13.81,9.690007,0.99036,0.25
3/3/2022,23:59:41,0,13.81,9.668037,0.99036,0.25
3/4/2022,0:09:41,0,13.81,9.621108,0.99036,0.25
3/4/2022,0:19:41,0,13.77,9.586156,0.99036,0.25
3/4/2022,0:29:41,0,13.73,9.53823,0.99036,0.25
3/4/2022,0:39:41,0,13.68,9.52724,0.99036,0.25
3/4/2022,0:49:41,0,13.68,9.491294,0.99036,0.25
3/4/2022,0:59:41,0,13.6,9.449353,0.99036,0.25
3/4/2022,1:09:41,0,13.64,9.432376,0.99036,0.25
3/4/2022,1:19:41,0,13.64,9.406413,0.99036,0.25
3/4/2022,1:29:41,0,13.55,9.374457,0.99036,0.25
3/4/2022,1:39:41,0,13.47,9.3445,0.99036,0.25
3/4/2022,1:49:41,0,13.43,9.32253,0.99036,0.25
3/4/2022,1:59:41,0,13.43,9.294569,0.99036,0.25
3/4/2022,2:09:41,0,13.43,9.283581,0.99036,0.25
3/4/2022,2:19:41,0,13.34,9.256621,0.99036,0.25
3/4/2022,2:29:41,0,13.34,9.223668,0.99036,0.25
3/4/2022,2:39:41,0,13.25,9.211681,0.99036,0.25
3/4/2022,2:49:41,0,13.25,9.220659,0.99036,0.25
3/4/2022,2:59:41,0,13.21,9.186711,0.99036,0.25
3/4/2022,3:09:41,0,13.17,9.166738,0.99036,0.25
3/4/2022,3:19:41,0,13.12,9.150758,0.99036,0.25
3/4/2022,3:29:41,0,13.08,9.143765,0.99036,0.25
3/4/2022,3:39:41,0,13.04,9.136771,0.99036,0.25
3/4/2022,3:49:41,0,13.04,9.123788,0.99036,0.25
3/4/2022,3:59:41,0,13,9.126777,0.99036,0.25
3/4/2022,4:09:41,0,13,9.111797,0.99036,0.25
3/4/2022,4:19:41,0,12.95,9.111793,0.99036,0.25
3/4/2022,4:29:41,0,12.87,9.104799,0.99036,0.25
3/4/2022,4:39:41,0,12.82,9.087822,0.99036,0.25
3/4/2022,4:49:41,0,12.82,9.097801,0.99036,0.25
3/4/2022,4:59:41,0,12.74,9.087812,0.99036,0.25
3/4/2022,5:09:41,0,12.7,9.08681,0.99036,0.25
3/4/2022,5:19:41,0,12.65,9.085807,0.99036,0.25
3/4/2022,5:29:41,0,12.65,9.080814,0.99036,0.25
3/4/2022,5:39:41,0,12.57,9.092788,0.99036,0.25
3/4/2022,5:49:41,0.023865,12.61,9.089788,0.99036,0.25
3/4/2022,5:59:41,0.32116,12.57,9.097771,0.99036,0.25
3/4/2022,6:09:41,2.03944,12.52,9.068814,0.99036,0.25
3/4/2022,6:19:41,6.63336,12.48,9.091772,0.99036,0.25
3/4/2022,6:29:41,13.13056,12.48,9.104748,0.99036,0.25
3/4/2022,6:39:41,19.95632,12.4,9.10774,0.99036,0.25
3/4/2022,6:49:41,25.9296,12.4,9.138684,0.99036,0.25
3/4/2022,6:59:41,31.39968,12.4,9.164642,0.99036,0.25
3/4/2022,7:09:41,30.26304,12.35,9.176619,0.99036,0.25
3/4/2022,7:19:41,35.98176,12.35,9.220547,0.99036,0.25
3/4/2022,7:29:41,56.9504,12.44,9.277454,0.99036,0.25
3/4/2022,7:39:41,49.63328,12.35,9.322382,0.99036,0.25
3/4/2022,7:49:41,44.92096,12.4,9.3753,0.99036,0.25
3/4/2022,7:59:41,47.51392,12.35,9.457169,0.99036,0.25
3/4/2022,8:09:41,49.75168,12.35,9.529056,0.99036,0.25
3/4/2022,8:19:41,59.29472,12.44,9.607934,0.99036,0.25
3/4/2022,8:29:41,51.71712,12.44,9.691806,0.99036,0.25
3/4/2022,8:39:41,73.1712,12.52,9.789651,0.99036,0.25
3/4/2022,8:49:41,76.368,12.57,9.871529,0.99036,0.25
3/4/2022,8:59:41,147.7632,12.87,9.975368,0.99036,0.25
3/4/2022,9:09:41,192.32896,13.3,10.050257,0.99036,0.25
3/4/2022,9:19:41,267.29984,13.47,10.141117,0.99036,0.25
3/4/2022,9:29:41,313.90208,13.6,10.219,0.99036,0.25
3/4/2022,9:39:41,269.85728,13.3,10.301875,0.99036,0.25
3/4/2022,9:49:41,103.29216,12.95,10.377764,0.99036,0.25
3/4/2022,9:59:41,209.71008,13.38,10.462638,0.99036,0.25
3/4/2022,10:09:41,316.45952,13.73,10.54951,0.99036,0.25
3/4/2022,10:19:41,150.46272,13.3,10.625401,0.99036,0.25
3/4/2022,10:29:41,371.776,13.98,10.709279,0.99036,0.25
3/4/2022,10:39:41,290.50624,13.94,10.773183,0.99036,0.25
3/4/2022,10:49:41,455.03488,14.71,10.856066,0.99036,0.25
3/4/2022,10:59:41,531.00032,14.97,10.913987,0.99036,0.25
3/4/2022,11:09:41,430.40768,14.97,10.961923,0.99036,0.25
3/4/2022,11:19:41,358.89408,14.71,11.016845,0.99036,0.25
3/4/2022,11:29:41,495.00672,14.97,11.077759,0.99036,0.25
3/4/2022,11:39:41,483.82976,15.23,11.102732,0.99036,0.25
3/4/2022,11:49:41,405.02272,14.84,11.140683,0.99036,0.25
3/4/2022,11:59:41,510.73024,15.27,11.182629,0.99036,0.25
3/4/2022,12:09:41,506.37312,15.1,11.249533,0.99036,0.25
