Date,Time,I,tempC,DO.meas,atmo.pressure,salinity
3/4/2022,0:09:41,0,13.81,9.621108,0.99036,0.25
3/4/2022,0:19:41,0,13.77,9.586156,0.99036,0.25
3/4/2022,0:29:41,0,13.73,9.53823,0.99036,0.25
3/4/2022,0:39:41,0,13.68,9.52724,0.99036,0.25
3/4/2022,0:49:41,0,13.68,9.491294,0.99036,0.25
3/4/2022,0:59:41,0,13.6,9.449353,0.99036,0.25
3/4/2022,1:09:41,0,13.64,9.432376,0.99036,0.25
3/4/2022,1:19:41,0,13.64,9.406413,0.99036,0.25
3/4/2022,1:29:41,0,13.55,9.374457,0.99036,0.25
3/4/2022,1:39:41,0,13.47,9.3445,0.99036,0.25
3/4/2022,1:49:41,0,13.43,9.32253,0.99036,0.25
3/4/2022,1:59:41,0,13.43,9.294569,0.99036,0.25
3/4/2022,2:09:41,0,13.43,9.283581,0.99036,0.25
3/4/2022,2:19:41,0,13.34,9.256621,0.99036,0.25
3/4/2022,2:29:41,0,13.34,9.223668,0.99036,0.25
3/4/2022,2:39:41,0,13.25,9.211681,0.99036,0.25
3/4/2022,2:49:41,0,13.25,9.220659,0.99036,0.25
3/4/2022,2:59:41,0,13.21,9.186711,0.99036,0.25
3/4/2022,3:09:41,0,13.17,9.166738,0.99036,0.25
3/4/2022,3:19:41,0,13.12,9.150758,0.99036,0.25
3/4/2022,3:29:41,0,13.08,9.143765,0.99036,0.25
3/4/2022,3:39:41,0,13.04,9.136771,0.99036,0.25
3/4/2022,3:49:41,0,13.04,9.123788,0.99036,0.25
3/4/2022,3:59:41,0,13,9.126777,0.99036,0.25
3/4/2022,4:09:41,0,13,9.111797,0.99036,0.25
3/4/2022,4:19:41,0,12.95,9.111793,0.99036,0.25
3/4/2022,4:29:41,0,12.87,9.104799,0.99036,0.25
3/4/2022,4:39:41,0,12.82,9.087822,0.99036,0.25
3/4/2022,4:49:41,0,12.82,9.097801,0.99036,0.25
3/4/2022,4:59:41,0,12.74,9.087812,0.99036,0.25
3/4/2022,5:09:41,0,12.7,9.08681,0.99036,0.25
3/4/2022,5:19:41,0,12.65,9.085807,0.99036,0.25
3/4/2022,5:29:41,0,12.65,9.080814,0.99036,0.25
3/4/2022,5:39:41,0,12.57,9.092788,0.99036,0.25
3/4/2022,5:49:41,0.023865,12.61,9.089788,0.99036,0.25
3/4/2022,5:59:41,0.32116,12.57,9.097771,0.99036,0.25
3/4/2022,6:09:41,2.03944,12.52,9.068814,0.99036,0.25
3/4/2022,6:19:41,6.63336,12.48,9.091772,0.99036,0.25
3/4/2022,6:29:41,13.13056,12.48,9.104748,0.99036,0.25
3/4/2022,6:39:41,19.95632,12.4,9.10774,0.99036,0.25
3/4/2022,6:49:41,25.9296,12.4,9.138684,0.99036,0.25
3/4/2022,6:59:41,31.39968,12.4,9.164642,0.99036,0.25
3/4/2022,7:09:41,30.26304,12.35,9.176619,0.99036,0.25
3/4/2022,7:19:41,35.98176,12.35,9.220547,0.99036,0.25
3/4/2022,7:29:41,56.9504,12.44,9.277454,0.99036,0.25
3/4/2022,7:39:41,49.63328,12.35,9.322382,0.99036,0.25
3/4/2022,7:49:41,44.92096,12.4,9.3753,0.99036,0.25
3/4/2022,7:59:41,47.51392,12.35,9.457169,0.99036,0.25
3/4/2022,8:09:41,49.75168,12.35,9.529056,0.99036,0.25
3/4/2022,8:19:41,59.29472,12.44,9.607934,0.99036,0.25
3/4/2022,8:29:41,51.71712,12.44,9.691806,0.99036,0.25
3/4/2022,8:39:41,73.1712,12.52,9.789651,0.99036,0.25
3/4/2022,8:49:41,76.368,12.57,9.871529,0.99036,0.25
3/4/2022,8:59:41,147.7632,12.87,9.975368,0.99036,0.25
3/4/2022,9:09:41,192.32896,13.3,10.050257,0.99036,0.25
3/4/2022,9:19:41,267.29984,13.47,10.141117,0.99036,0.25
3/4/2022,9:29:41,313.90208,13.6,10.219,0.99036,0.25
3/4/2022,9:39:41,269.85728,13.3,10.301875,0.99036,0.25
3/4/2022,9:49:41,103.29216,12.95,10.377764,0.99036,0.25
