Date,Time,I,  tempC,DO.meas,atmo.pressure,salinity
1/8/2023,0:01:00,0,9.267,9.408751,0.97714591,0.12
1/8/2023,0:06:00,0,9.267,9.395761,0.97714591,0.12
1/8/2023,0:11:00,0,9.212,9.540646,0.97714591,0.12
1/8/2023,0:16:00,0,9.221,9.590608,0.97714591,0.12
1/8/2023,0:21:00,0,9.23,9.499679,0.97714591,0.12
1/8/2023,0:26:00,0,9.277,9.491688,0.97714591,0.12
1/8/2023,0:31:00,0,9.258,9.325815,0.97714591,0.12
1/8/2023,0:36:00,0,9.286,9.344802,0.97714591,0.12
1/8/2023,0:41:00,0,9.249,9.415745,0.97714591,0.12
1/8/2023,0:46:00,0,9.277,9.425739,0.97714591,0.12
1/8/2023,0:51:00,0,9.277,9.329813,0.97714591,0.12
1/8/2023,0:56:00,0,9.304,9.272858,0.97714591,0.12
1/8/2023,1:01:00,0,9.314,9.214904,0.97714591,0.12
1/8/2023,1:06:00,0,9.249,9.285845,0.97714591,0.12
1/8/2023,1:11:00,0,9.369,9.232893,0.97714591,0.12
1/8/2023,1:16:00,0,9.36,9.164945,0.97714591,0.12
1/8/2023,1:21:00,0,9.258,9.351795,0.97714591,0.12
1/8/2023,1:26:00,0,9.286,9.381773,0.97714591,0.12
1/8/2023,1:31:00,0,9.267,9.428736,0.97714591,0.12
1/8/2023,1:36:00,0,9.341,9.226896,0.97714591,0.12
1/8/2023,1:41:00,0,9.35,8.931124,0.97714591,0.12
1/8/2023,1:46:00,0,9.341,9.158948,0.97714591,0.12
1/8/2023,1:51:00,0,9.323,9.163943,0.97714591,0.12
1/8/2023,1:56:00,0,9.277,9.279851,0.97714591,0.12
1/8/2023,2:01:00,0,9.286,9.356793,0.97714591,0.12
1/8/2023,2:06:00,0,9.286,9.384771,0.97714591,0.12
1/8/2023,2:11:00,0,9.212,9.534651,0.97714591,0.12
1/8/2023,2:16:00,0,9.23,9.496681,0.97714591,0.12
1/8/2023,2:21:00,0,9.258,9.436729,0.97714591,0.12
1/8/2023,2:26:00,0,9.341,9.391769,0.97714591,0.12
1/8/2023,2:31:00,0,9.314,9.228893,0.97714591,0.12
1/8/2023,2:36:00,0,9.24,9.386767,0.97714591,0.12
1/8/2023,2:41:00,0,9.24,9.412747,0.97714591,0.12
1/8/2023,2:46:00,0,9.23,9.516666,0.97714591,0.12
1/8/2023,2:51:00,0,9.286,9.512672,0.97714591,0.12
1/8/2023,2:56:00,0,9.277,9.532657,0.97714591,0.12
1/8/2023,3:01:00,0,9.314,9.471706,0.97714591,0.12
1/8/2023,3:06:00,0,9.295,9.328815,0.97714591,0.12
1/8/2023,3:11:00,0,9.304,9.359791,0.97714591,0.12
1/8/2023,3:16:00,0,9.341,9.218902,0.97714591,0.12
1/8/2023,3:21:00,0,9.314,9.216902,0.97714591,0.12
1/8/2023,3:26:00,0,9.304,9.235887,0.97714591,0.12
1/8/2023,3:31:00,0,9.323,9.249877,0.97714591,0.12
1/8/2023,3:36:00,0,9.314,9.212905,0.97714591,0.12
1/8/2023,3:41:00,0,9.314,9.170937,0.97714591,0.12
1/8/2023,3:46:00,0,9.304,9.242881,0.97714591,0.12
1/8/2023,3:51:00,0,9.258,9.428735,0.97714591,0.12
1/8/2023,3:56:00,0,9.304,9.328815,0.97714591,0.12
1/8/2023,4:01:00,0,9.314,9.280853,0.97714591,0.12
1/8/2023,4:06:00,0,9.267,9.386768,0.97714591,0.12
1/8/2023,4:11:00,0,9.36,9.323823,0.97714591,0.12
1/8/2023,4:16:00,0,9.304,9.442727,0.97714591,0.12
1/8/2023,4:21:00,0,9.267,9.478697,0.97714591,0.12
1/8/2023,4:26:00,0,9.295,9.469706,0.97714591,0.12
1/8/2023,4:31:00,0,9.277,9.551642,0.97714591,0.12
1/8/2023,4:36:00,0,9.258,9.568628,0.97714591,0.12
1/8/2023,4:41:00,0,9.314,9.514673,0.97714591,0.12
1/8/2023,4:46:00,0,9.295,9.543649,0.97714591,0.12
1/8/2023,4:51:00,0,9.258,9.4747,0.97714591,0.12
1/8/2023,4:56:00,0,9.295,9.469706,0.97714591,0.12
1/8/2023,5:01:00,0,9.341,9.318825,0.97714591,0.12
1/8/2023,5:06:00,0,9.341,9.23489,0.97714591,0.12
1/8/2023,5:11:00,0,9.341,9.302837,0.97714591,0.12
