#,Date-Time (CST),Ch: 1 - Temperature   (°C),Ch: 2 - Light   (lux),Button Down,Button Up,Host Connected,End of File
1,03/03/2022 14:49:41,29.47,8463.36,,,,
2,03/03/2022 14:59:41,29.98,5373.44,,,,
3,03/03/2022 15:09:41,33.07,55644.16,,,,
4,03/03/2022 15:14:56,,,Logged,,,
5,03/03/2022 15:14:57,,,,Logged,,
6,03/03/2022 15:15:15,,,,,Logged,
7,03/03/2022 15:19:41,32.69,16271.36,,,,
8,03/03/2022 15:29:41,15.74,20254.72,,,,
9,03/03/2022 15:39:41,15.01,19041.28,,,,
10,03/03/2022 15:49:41,14.88,16368.64,,,,
11,03/03/2022 15:59:41,14.75,12134.40,,,,
12,03/03/2022 16:09:41,14.63,7633.92,,,,
13,03/03/2022 16:19:41,14.54,9093.12,,,,
14,03/03/2022 16:29:41,14.45,7063.04,,,,
15,03/03/2022 16:39:41,14.41,4238.08,,,,
16,03/03/2022 16:49:41,14.28,2863.36,,,,
17,03/03/2022 16:59:41,14.24,2369.92,,,,
18,03/03/2022 17:09:41,14.24,1635.20,,,,
19,03/03/2022 17:19:41,14.20,1141.76,,,,
20,03/03/2022 17:29:41,14.24,688.96,,,,
21,03/03/2022 17:39:41,14.20,299.44,,,,
22,03/03/2022 17:49:41,14.28,99.00,,,,
23,03/03/2022 17:59:41,14.24,12.35,,,,
24,03/03/2022 18:09:41,14.28,0.64,,,,
25,03/03/2022 18:19:41,14.24,0.00,,,,
26,03/03/2022 18:29:41,14.28,0.00,,,,
27,03/03/2022 18:39:41,14.28,0.00,,,,
28,03/03/2022 18:49:41,14.33,0.00,,,,
29,03/03/2022 18:59:41,14.33,0.00,,,,
30,03/03/2022 19:09:41,14.33,0.00,,,,
31,03/03/2022 19:19:41,14.33,0.00,,,,
32,03/03/2022 19:29:41,14.37,0.00,,,,
33,03/03/2022 19:39:41,14.37,0.00,,,,
34,03/03/2022 19:49:41,14.33,0.00,,,,
35,03/03/2022 19:59:41,14.33,0.00,,,,
36,03/03/2022 20:09:41,14.33,0.00,,,,
37,03/03/2022 20:19:41,14.33,0.00,,,,
38,03/03/2022 20:29:41,14.33,0.00,,,,
39,03/03/2022 20:39:41,14.33,0.00,,,,
40,03/03/2022 20:49:41,14.28,0.00,,,,
41,03/03/2022 20:59:41,14.33,0.00,,,,
42,03/03/2022 21:09:41,14.24,0.00,,,,
43,03/03/2022 21:19:41,14.24,0.00,,,,
44,03/03/2022 21:29:41,14.20,0.00,,,,
45,03/03/2022 21:39:41,14.24,0.00,,,,
46,03/03/2022 21:49:41,14.20,0.00,,,,
47,03/03/2022 21:59:41,14.15,0.00,,,,
48,03/03/2022 22:09:41,14.11,0.00,,,,
49,03/03/2022 22:19:41,14.11,0.00,,,,
50,03/03/2022 22:29:41,14.11,0.00,,,,
51,03/03/2022 22:39:41,14.07,0.00,,,,
52,03/03/2022 22:49:41,14.03,0.00,,,,
53,03/03/2022 22:59:41,14.03,0.00,,,,
54,03/03/2022 23:09:41,13.98,0.00,,,,
55,03/03/2022 23:19:41,13.98,0.00,,,,
56,03/03/2022 23:29:41,13.94,0.00,,,,
57,03/03/2022 23:39:41,13.90,0.00,,,,
58,03/03/2022 23:49:41,13.81,0.00,,,,
59,03/03/2022 23:59:41,13.81,0.00,,,,
60,03/04/2022 00:09:41,13.81,0.00,,,,
61,03/04/2022 00:19:41,13.77,0.00,,,,
62,03/04/2022 00:29:41,13.73,0.00,,,,
63,03/04/2022 00:39:41,13.68,0.00,,,,
64,03/04/2022 00:49:41,13.68,0.00,,,,
65,03/04/2022 00:59:41,13.60,0.00,,,,
66,03/04/2022 01:09:41,13.64,0.00,,,,
67,03/04/2022 01:19:41,13.64,0.00,,,,
68,03/04/2022 01:29:41,13.55,0.00,,,,
69,03/04/2022 01:39:41,13.47,0.00,,,,
70,03/04/2022 01:49:41,13.43,0.00,,,,
71,03/04/2022 01:59:41,13.43,0.00,,,,
72,03/04/2022 02:09:41,13.43,0.00,,,,
73,03/04/2022 02:19:41,13.34,0.00,,,,
74,03/04/2022 02:29:41,13.34,0.00,,,,
75,03/04/2022 02:39:41,13.25,0.00,,,,
76,03/04/2022 02:49:41,13.25,0.00,,,,
77,03/04/2022 02:59:41,13.21,0.00,,,,
78,03/04/2022 03:09:41,13.17,0.00,,,,
79,03/04/2022 03:19:41,13.12,0.00,,,,
80,03/04/2022 03:29:41,13.08,0.00,,,,
81,03/04/2022 03:39:41,13.04,0.00,,,,
82,03/04/2022 03:49:41,13.04,0.00,,,,
83,03/04/2022 03:59:41,13.00,0.00,,,,
84,03/04/2022 04:09:41,13.00,0.00,,,,
85,03/04/2022 04:19:41,12.95,0.00,,,,
86,03/04/2022 04:29:41,12.87,0.00,,,,
87,03/04/2022 04:39:41,12.82,0.00,,,,
88,03/04/2022 04:49:41,12.82,0.00,,,,
89,03/04/2022 04:59:41,12.74,0.00,,,,
90,03/04/2022 05:09:41,12.70,0.00,,,,
91,03/04/2022 05:19:41,12.65,0.00,,,,
92,03/04/2022 05:29:41,12.65,0.00,,,,
93,03/04/2022 05:39:41,12.57,0.00,,,,
94,03/04/2022 05:49:41,12.61,1.29,,,,
95,03/04/2022 05:59:41,12.57,17.36,,,,
96,03/04/2022 06:09:41,12.52,110.24,,,,
97,03/04/2022 06:19:41,12.48,358.56,,,,
98,03/04/2022 06:29:41,12.48,709.76,,,,
99,03/04/2022 06:39:41,12.40,1078.72,,,,
100,03/04/2022 06:49:41,12.40,1401.60,,,,
101,03/04/2022 06:59:41,12.40,1697.28,,,,
102,03/04/2022 07:09:41,12.35,1635.84,,,,
103,03/04/2022 07:19:41,12.35,1944.96,,,,
104,03/04/2022 07:29:41,12.44,3078.40,,,,
105,03/04/2022 07:39:41,12.35,2682.88,,,,
106,03/04/2022 07:49:41,12.40,2428.16,,,,
107,03/04/2022 07:59:41,12.35,2568.32,,,,
108,03/04/2022 08:09:41,12.35,2689.28,,,,
109,03/04/2022 08:19:41,12.44,3205.12,,,,
110,03/04/2022 08:29:41,12.44,2795.52,,,,
111,03/04/2022 08:39:41,12.52,3955.20,,,,
112,03/04/2022 08:49:41,12.57,4128.00,,,,
113,03/04/2022 08:59:41,12.87,7987.20,,,,
114,03/04/2022 09:09:41,13.30,10396.16,,,,
115,03/04/2022 09:19:41,13.47,14448.64,,,,
116,03/04/2022 09:29:41,13.60,16967.68,,,,
117,03/04/2022 09:39:41,13.30,14586.88,,,,
118,03/04/2022 09:49:41,12.95,5583.36,,,,
119,03/04/2022 09:59:41,13.38,11335.68,,,,
120,03/04/2022 10:09:41,13.73,17105.92,,,,
121,03/04/2022 10:19:41,13.30,8133.12,,,,
122,03/04/2022 10:29:41,13.98,20096.00,,,,
123,03/04/2022 10:39:41,13.94,15703.04,,,,
124,03/04/2022 10:49:41,14.71,24596.48,,,,
125,03/04/2022 10:59:41,14.97,28702.72,,,,
126,03/04/2022 11:09:41,14.97,23265.28,,,,
127,03/04/2022 11:19:41,14.71,19399.68,,,,
128,03/04/2022 11:29:41,14.97,26757.12,,,,
129,03/04/2022 11:39:41,15.23,26152.96,,,,
130,03/04/2022 11:49:41,14.84,21893.12,,,,
131,03/04/2022 11:59:41,15.27,27607.04,,,,
132,03/04/2022 12:09:41,15.10,27371.52,,,,
133,03/04/2022 12:19:41,14.93,20920.32,,,,
134,03/04/2022 12:29:41,15.31,18800.64,,,,
135,03/04/2022 12:39:41,15.44,22425.60,,,,
136,03/04/2022 12:49:41,15.61,30197.76,,,,
137,03/04/2022 12:59:41,15.44,23255.04,,,,
138,03/04/2022 13:09:41,14.71,11520.00,,,,
139,03/04/2022 13:19:41,15.70,33454.08,,,,
140,03/04/2022 13:29:41,15.61,28313.60,,,,
141,03/04/2022 13:39:41,15.91,31703.04,,,,
142,03/04/2022 13:49:41,15.61,32194.56,,,,
143,03/04/2022 13:59:41,15.10,16445.44,,,,
144,03/04/2022 14:09:41,15.87,32552.96,,,,
145,03/04/2022 14:19:41,15.57,31866.88,,,,
146,03/04/2022 14:29:41,15.36,21852.16,,,,
147,03/04/2022 14:39:41,15.36,16686.08,,,,
148,03/04/2022 14:49:41,15.66,33177.60,,,,
149,03/04/2022 14:59:41,15.53,23255.04,,,,
150,03/04/2022 15:09:41,15.06,11601.92,,,,
151,03/04/2022 15:19:41,14.80,10301.44,,,,
152,03/04/2022 15:29:41,14.75,10787.84,,,,
153,03/04/2022 15:39:41,14.71,8885.76,,,,
154,03/04/2022 15:49:41,14.58,6517.76,,,,
155,03/04/2022 15:59:41,14.58,6072.32,,,,
156,03/04/2022 16:09:41,14.67,7360.00,,,,
157,03/04/2022 16:19:41,14.58,5468.16,,,,
158,03/04/2022 16:29:41,14.54,4349.44,,,,
159,03/04/2022 16:39:41,14.50,2880.00,,,,
160,03/04/2022 16:49:41,14.50,2924.80,,,,
161,03/04/2022 16:59:41,14.41,1857.28,,,,
162,03/04/2022 17:09:41,14.41,1240.96,,,,
163,03/04/2022 17:19:41,14.41,639.84,,,,
164,03/04/2022 17:29:41,14.41,324.72,,,,
165,03/04/2022 17:39:41,14.41,126.76,,,,
166,03/04/2022 17:49:41,14.37,42.06,,,,
167,03/04/2022 17:59:41,14.45,5.85,,,,
168,03/04/2022 18:09:41,14.45,0.00,,,,
169,03/04/2022 18:19:41,14.54,0.00,,,,
